date,Rick Fox,Dancing with the Stars,normalized_score
2010-09-20,1,19,5.263157894736842
2010-09-21,21,80,26.25
2010-09-22,7,71,9.859154929577464
2010-09-23,1,15,6.666666666666667
2010-09-24,1,7,14.285714285714285
2010-09-25,1,7,14.285714285714285
2010-09-26,1,5,20.0
2010-09-27,1,8,12.5
2010-09-28,6,46,13.043478260869565
2010-09-29,2,55,3.6363636363636362
2010-09-30,1,14,7.142857142857142
2010-10-01,1,7,14.285714285714285
2010-10-02,1,7,14.285714285714285
2010-10-03,1,5,20.0
2010-10-04,1,7,14.285714285714285
2010-10-05,9,33,27.27272727272727
2010-10-06,3,42,7.142857142857142
2010-10-07,1,12,8.333333333333332
2010-10-08,1,6,16.666666666666664
2010-10-09,1,4,25.0
2010-10-10,0,4,0.0
2010-10-11,1,6,16.666666666666664
2010-10-12,4,29,13.793103448275861
2010-10-13,1,40,2.5
2010-10-14,0,11,0.0
2010-10-15,1,6,16.666666666666664
2010-10-16,0,5,0.0
2010-10-17,0,4,0.0
2010-10-18,1,5,20.0
2010-10-19,4,22,18.181818181818183
2010-10-20,1,43,2.3255813953488373
2010-10-21,1,11,9.090909090909092
2010-10-22,1,7,14.285714285714285
2010-10-23,0,5,0.0
2010-10-24,0,4,0.0
2010-10-25,1,5,20.0
2010-10-26,3,26,11.538461538461538
2010-10-27,1,46,2.1739130434782608
2010-10-28,1,12,8.333333333333332
2010-10-29,1,6,16.666666666666664
2010-10-30,0,5,0.0
2010-10-31,0,5,0.0
2010-11-01,0,6,0.0
2010-11-02,6,24,25.0
2010-11-03,8,45,17.77777777777778
2010-11-04,2,11,18.181818181818183
2010-11-05,1,6,16.666666666666664
2010-11-06,1,5,20.0
2010-11-07,1,5,20.0
2010-11-08,1,5,20.0
2010-11-09,1,28,3.571428571428571
2010-11-10,0,53,0.0
2010-11-11,0,15,0.0
2010-11-12,0,7,0.0
2010-11-13,1,6,16.666666666666664
2010-11-14,0,5,0.0
2010-11-15,0,6,0.0
2010-11-16,0,35,0.0
2010-11-17,0,100,0.0
2010-11-18,0,29,0.0
2010-11-19,0,14,0.0
2010-11-20,0,11,0.0
2010-11-21,0,8,0.0
2010-11-22,0,12,0.0
2010-11-23,0,87,0.0
