date,The Situation,Dancing with the Stars,normalized_score
2010-09-20,3,19,15.789473684210526
2010-09-21,9,80,11.25
2010-09-22,8,71,11.267605633802818
2010-09-23,3,15,20.0
2010-09-24,4,7,57.14285714285714
2010-09-25,3,7,42.857142857142854
2010-09-26,3,5,60.0
2010-09-27,3,8,37.5
2010-09-28,6,46,13.043478260869565
2010-09-29,4,55,7.2727272727272725
2010-09-30,2,14,14.285714285714285
2010-10-01,4,7,57.14285714285714
2010-10-02,3,7,42.857142857142854
2010-10-03,3,5,60.0
2010-10-04,3,7,42.857142857142854
2010-10-05,5,33,15.151515151515152
2010-10-06,4,42,9.523809523809524
2010-10-07,2,12,16.666666666666664
2010-10-08,4,6,66.66666666666666
2010-10-09,3,4,75.0
2010-10-10,3,4,75.0
2010-10-11,3,6,50.0
2010-10-12,6,29,20.689655172413794
2010-10-13,7,40,17.5
2010-10-14,4,11,36.36363636363637
2010-10-15,5,6,83.33333333333334
2010-10-16,4,5,80.0
2010-10-17,4,4,100.0
2010-10-18,3,5,60.0
2010-10-19,2,22,9.090909090909092
2010-10-20,3,43,6.976744186046512
2010-10-21,4,11,36.36363636363637
2010-10-22,4,7,57.14285714285714
2010-10-23,3,5,60.0
2010-10-24,3,4,75.0
2010-10-25,2,5,40.0
2010-10-26,3,26,11.538461538461538
2010-10-27,3,46,6.521739130434782
2010-10-28,3,12,25.0
2010-10-29,4,6,66.66666666666666
2010-10-30,4,5,80.0
2010-10-31,3,5,60.0
2010-11-01,2,6,33.33333333333333
2010-11-02,3,24,12.5
2010-11-03,2,45,4.444444444444445
2010-11-04,3,11,27.27272727272727
2010-11-05,3,6,50.0
2010-11-06,2,5,40.0
2010-11-07,1,5,20.0
2010-11-08,2,5,40.0
2010-11-09,1,28,3.571428571428571
2010-11-10,1,53,1.8867924528301887
2010-11-11,1,15,6.666666666666667
2010-11-12,1,7,14.285714285714285
2010-11-13,1,6,16.666666666666664
2010-11-14,1,5,20.0
2010-11-15,1,6,16.666666666666664
2010-11-16,2,35,5.714285714285714
2010-11-17,2,100,2.0
2010-11-18,2,29,6.896551724137931
2010-11-19,2,14,14.285714285714285
2010-11-20,2,11,18.181818181818183
2010-11-21,1,8,12.5
2010-11-22,1,12,8.333333333333332
2010-11-23,1,87,1.1494252873563218
