date,Chelsea Kane,Dancing with the Stars,normalized_score
2011-03-21,3,25,12.0
2011-03-22,10,100,10.0
2011-03-23,2,33,6.0606060606060606
2011-03-24,1,15,6.666666666666667
2011-03-25,1,13,7.6923076923076925
2011-03-26,1,10,10.0
2011-03-27,2,15,13.333333333333334
2011-03-28,2,12,16.666666666666664
2011-03-29,13,79,16.455696202531644
2011-03-30,9,95,9.473684210526317
2011-03-31,2,22,9.090909090909092
2011-04-01,1,12,8.333333333333332
2011-04-02,2,8,25.0
2011-04-03,2,6,33.33333333333333
2011-04-04,1,9,11.11111111111111
2011-04-05,12,79,15.18987341772152
2011-04-06,6,67,8.955223880597014
2011-04-07,1,16,6.25
2011-04-08,1,12,8.333333333333332
2011-04-09,1,8,12.5
2011-04-10,1,6,16.666666666666664
2011-04-11,1,8,12.5
2011-04-12,6,51,11.76470588235294
2011-04-13,4,61,6.557377049180328
2011-04-14,1,17,5.88235294117647
2011-04-15,1,10,10.0
2011-04-16,2,7,28.57142857142857
2011-04-17,2,6,33.33333333333333
2011-04-18,2,7,28.57142857142857
2011-04-19,7,44,15.909090909090908
2011-04-20,3,64,4.6875
2011-04-21,1,19,5.263157894736842
2011-04-22,1,10,10.0
2011-04-23,1,7,14.285714285714285
2011-04-24,1,6,16.666666666666664
2011-04-25,1,8,12.5
2011-04-26,4,53,7.547169811320755
2011-04-27,4,75,5.333333333333334
2011-04-28,1,18,5.555555555555555
2011-04-29,1,8,12.5
2011-04-30,1,6,16.666666666666664
2011-05-01,1,6,16.666666666666664
2011-05-02,1,6,16.666666666666664
2011-05-03,5,35,14.285714285714285
2011-05-04,4,68,5.88235294117647
2011-05-05,2,17,11.76470588235294
2011-05-06,1,11,9.090909090909092
2011-05-07,1,6,16.666666666666664
2011-05-08,1,7,14.285714285714285
2011-05-09,1,9,11.11111111111111
2011-05-10,7,42,16.666666666666664
2011-05-11,5,81,6.172839506172839
2011-05-12,2,19,10.526315789473683
2011-05-13,1,13,7.6923076923076925
2011-05-14,2,15,13.333333333333334
2011-05-15,1,10,10.0
2011-05-16,2,14,14.285714285714285
2011-05-17,12,69,17.391304347826086
2011-05-18,8,86,9.30232558139535
2011-05-19,4,20,20.0
2011-05-20,2,13,15.384615384615385
2011-05-21,2,10,20.0
2011-05-22,2,9,22.22222222222222
2011-05-23,3,15,20.0
2011-05-24,15,89,16.853932584269664
