date,Ralph Macchio,Dancing with the Stars,normalized_score
2011-03-21,2,25,8.0
2011-03-22,27,100,27.0
2011-03-23,5,33,15.151515151515152
2011-03-24,2,15,13.333333333333334
2011-03-25,2,13,15.384615384615385
2011-03-26,1,10,10.0
2011-03-27,4,15,26.666666666666668
2011-03-28,2,12,16.666666666666664
2011-03-29,19,79,24.050632911392405
2011-03-30,11,95,11.578947368421053
2011-03-31,2,22,9.090909090909092
2011-04-01,1,12,8.333333333333332
2011-04-02,1,8,12.5
2011-04-03,1,6,16.666666666666664
2011-04-04,1,9,11.11111111111111
2011-04-05,14,79,17.72151898734177
2011-04-06,4,67,5.970149253731343
2011-04-07,2,16,12.5
2011-04-08,2,12,16.666666666666664
2011-04-09,1,8,12.5
2011-04-10,1,6,16.666666666666664
2011-04-11,1,8,12.5
2011-04-12,4,51,7.8431372549019605
2011-04-13,2,61,3.278688524590164
2011-04-14,1,17,5.88235294117647
2011-04-15,1,10,10.0
2011-04-16,1,7,14.285714285714285
2011-04-17,1,6,16.666666666666664
2011-04-18,0,7,0.0
2011-04-19,3,44,6.8181818181818175
2011-04-20,1,64,1.5625
2011-04-21,1,19,5.263157894736842
2011-04-22,0,10,0.0
2011-04-23,1,7,14.285714285714285
2011-04-24,1,6,16.666666666666664
2011-04-25,0,8,0.0
2011-04-26,7,53,13.20754716981132
2011-04-27,4,75,5.333333333333334
2011-04-28,1,18,5.555555555555555
2011-04-29,0,8,0.0
2011-04-30,1,6,16.666666666666664
2011-05-01,1,6,16.666666666666664
2011-05-02,1,6,16.666666666666664
2011-05-03,6,35,17.142857142857142
2011-05-04,3,68,4.411764705882353
2011-05-05,1,17,5.88235294117647
2011-05-06,2,11,18.181818181818183
2011-05-07,1,6,16.666666666666664
2011-05-08,1,7,14.285714285714285
2011-05-09,1,9,11.11111111111111
2011-05-10,6,42,14.285714285714285
2011-05-11,4,81,4.938271604938271
2011-05-12,1,19,5.263157894736842
2011-05-13,1,13,7.6923076923076925
2011-05-14,2,15,13.333333333333334
2011-05-15,1,10,10.0
2011-05-16,1,14,7.142857142857142
2011-05-17,6,69,8.695652173913043
2011-05-18,8,86,9.30232558139535
2011-05-19,2,20,10.0
2011-05-20,1,13,7.6923076923076925
2011-05-21,1,10,10.0
2011-05-22,1,9,11.11111111111111
2011-05-23,0,15,0.0
2011-05-24,1,89,1.1235955056179776
