date,Sugar Ray Leonard,Dancing with the Stars,normalized_score
2011-03-21,1,22,4.545454545454546
2011-03-22,15,100,15.0
2011-03-23,1,32,3.125
2011-03-24,1,15,6.666666666666667
2011-03-25,0,12,0.0
2011-03-26,1,9,11.11111111111111
2011-03-27,2,15,13.333333333333334
2011-03-28,1,12,8.333333333333332
2011-03-29,7,70,10.0
2011-03-30,4,90,4.444444444444445
2011-03-31,1,23,4.3478260869565215
2011-04-01,0,11,0.0
2011-04-02,1,7,14.285714285714285
2011-04-03,0,6,0.0
2011-04-04,0,9,0.0
2011-04-05,7,78,8.974358974358974
2011-04-06,3,65,4.615384615384616
2011-04-07,0,16,0.0
2011-04-08,0,11,0.0
2011-04-09,0,8,0.0
2011-04-10,0,6,0.0
2011-04-11,0,7,0.0
2011-04-12,3,49,6.122448979591836
2011-04-13,3,60,5.0
2011-04-14,1,16,6.25
2011-04-15,1,9,11.11111111111111
2011-04-16,1,7,14.285714285714285
2011-04-17,0,6,0.0
2011-04-18,0,7,0.0
2011-04-19,0,42,0.0
2011-04-20,0,62,0.0
2011-04-21,0,18,0.0
2011-04-22,0,10,0.0
2011-04-23,0,6,0.0
2011-04-24,0,6,0.0
2011-04-25,0,8,0.0
2011-04-26,0,51,0.0
2011-04-27,0,71,0.0
2011-04-28,0,17,0.0
2011-04-29,0,8,0.0
2011-04-30,0,5,0.0
2011-05-01,0,6,0.0
2011-05-02,0,6,0.0
2011-05-03,0,33,0.0
2011-05-04,0,65,0.0
2011-05-05,0,16,0.0
2011-05-06,0,10,0.0
2011-05-07,0,6,0.0
2011-05-08,0,7,0.0
2011-05-09,0,9,0.0
2011-05-10,0,41,0.0
2011-05-11,0,79,0.0
2011-05-12,0,18,0.0
2011-05-13,0,12,0.0
2011-05-14,0,14,0.0
2011-05-15,0,10,0.0
2011-05-16,0,13,0.0
2011-05-17,1,67,1.4925373134328357
2011-05-18,2,83,2.4096385542168677
2011-05-19,1,19,5.263157894736842
2011-05-20,0,12,0.0
2011-05-21,0,10,0.0
2011-05-22,0,9,0.0
2011-05-23,0,14,0.0
2011-05-24,0,83,0.0
