date,Carson Kressley,Dancing with the Stars,normalized_score
2011-09-19,0,21,0.0
2011-09-20,3,84,3.571428571428571
2011-09-21,2,100,2.0
2011-09-22,0,19,0.0
2011-09-23,0,11,0.0
2011-09-24,0,8,0.0
2011-09-25,0,10,0.0
2011-09-26,0,10,0.0
2011-09-27,1,69,1.4492753623188406
2011-09-28,1,84,1.1904761904761905
2011-09-29,0,20,0.0
2011-09-30,0,11,0.0
2011-10-01,0,9,0.0
2011-10-02,0,7,0.0
2011-10-03,0,8,0.0
2011-10-04,2,56,3.571428571428571
2011-10-05,1,89,1.1235955056179776
2011-10-06,0,20,0.0
2011-10-07,1,11,9.090909090909092
2011-10-08,0,10,0.0
2011-10-09,0,9,0.0
2011-10-10,0,9,0.0
2011-10-11,1,44,2.272727272727273
2011-10-12,1,66,1.5151515151515151
2011-10-13,0,16,0.0
2011-10-14,0,9,0.0
2011-10-15,0,7,0.0
2011-10-16,0,6,0.0
2011-10-17,0,7,0.0
2011-10-18,2,40,5.0
2011-10-19,5,59,8.47457627118644
2011-10-20,1,16,6.25
2011-10-21,0,9,0.0
2011-10-22,0,7,0.0
2011-10-23,0,6,0.0
2011-10-24,0,7,0.0
2011-10-25,1,49,2.0408163265306123
2011-10-26,0,67,0.0
2011-10-27,0,19,0.0
2011-10-28,0,9,0.0
2011-10-29,0,8,0.0
2011-10-30,0,7,0.0
2011-10-31,0,8,0.0
2011-11-01,0,30,0.0
2011-11-02,0,54,0.0
2011-11-03,0,14,0.0
2011-11-04,0,9,0.0
2011-11-05,0,7,0.0
2011-11-06,0,6,0.0
2011-11-07,0,7,0.0
2011-11-08,0,37,0.0
2011-11-09,0,54,0.0
2011-11-10,0,15,0.0
2011-11-11,0,8,0.0
2011-11-12,0,6,0.0
2011-11-13,0,6,0.0
2011-11-14,0,7,0.0
2011-11-15,0,40,0.0
2011-11-16,0,63,0.0
2011-11-17,0,18,0.0
2011-11-18,0,10,0.0
2011-11-19,0,8,0.0
2011-11-20,0,8,0.0
2011-11-21,0,12,0.0
2011-11-22,0,65,0.0
