date,Chaz Bono,Dancing with the Stars,normalized_score
2011-09-19,6,21,28.57142857142857
2011-09-20,33,84,39.285714285714285
2011-09-21,18,100,18.0
2011-09-22,5,19,26.31578947368421
2011-09-23,4,11,36.36363636363637
2011-09-24,3,8,37.5
2011-09-25,3,10,30.0
2011-09-26,2,10,20.0
2011-09-27,12,69,17.391304347826086
2011-09-28,11,84,13.095238095238097
2011-09-29,4,20,20.0
2011-09-30,4,11,36.36363636363637
2011-10-01,2,9,22.22222222222222
2011-10-02,2,7,28.57142857142857
2011-10-03,2,8,25.0
2011-10-04,8,56,14.285714285714285
2011-10-05,8,89,8.98876404494382
2011-10-06,2,20,10.0
2011-10-07,2,11,18.181818181818183
2011-10-08,2,10,20.0
2011-10-09,2,9,22.22222222222222
2011-10-10,2,9,22.22222222222222
2011-10-11,12,44,27.27272727272727
2011-10-12,8,66,12.121212121212121
2011-10-13,3,16,18.75
2011-10-14,2,9,22.22222222222222
2011-10-15,2,7,28.57142857142857
2011-10-16,1,6,16.666666666666664
2011-10-17,1,7,14.285714285714285
2011-10-18,7,40,17.5
2011-10-19,4,59,6.779661016949152
2011-10-20,2,16,12.5
2011-10-21,1,9,11.11111111111111
2011-10-22,1,7,14.285714285714285
2011-10-23,1,6,16.666666666666664
2011-10-24,1,7,14.285714285714285
2011-10-25,5,49,10.204081632653061
2011-10-26,16,67,23.88059701492537
2011-10-27,6,19,31.57894736842105
2011-10-28,3,9,33.33333333333333
2011-10-29,3,8,37.5
2011-10-30,2,7,28.57142857142857
2011-10-31,2,8,25.0
2011-11-01,3,30,10.0
2011-11-02,2,54,3.7037037037037033
2011-11-03,1,14,7.142857142857142
2011-11-04,1,9,11.11111111111111
2011-11-05,2,7,28.57142857142857
2011-11-06,1,6,16.666666666666664
2011-11-07,1,7,14.285714285714285
2011-11-08,2,37,5.405405405405405
2011-11-09,2,54,3.7037037037037033
2011-11-10,1,15,6.666666666666667
2011-11-11,1,8,12.5
2011-11-12,1,6,16.666666666666664
2011-11-13,1,6,16.666666666666664
2011-11-14,1,7,14.285714285714285
2011-11-15,2,40,5.0
2011-11-16,2,63,3.1746031746031744
2011-11-17,1,18,5.555555555555555
2011-11-18,1,10,10.0
2011-11-19,1,8,12.5
2011-11-20,1,8,12.5
2011-11-21,1,12,8.333333333333332
2011-11-22,1,65,1.5384615384615385
