date,Chynna Phillips,Dancing with the Stars,normalized_score
2011-09-19,0,21,0.0
2011-09-20,10,83,12.048192771084338
2011-09-21,5,100,5.0
2011-09-22,1,18,5.555555555555555
2011-09-23,1,11,9.090909090909092
2011-09-24,1,8,12.5
2011-09-25,1,10,10.0
2011-09-26,0,10,0.0
2011-09-27,9,71,12.676056338028168
2011-09-28,4,80,5.0
2011-09-29,1,19,5.263157894736842
2011-09-30,1,11,9.090909090909092
2011-10-01,1,9,11.11111111111111
2011-10-02,0,6,0.0
2011-10-03,1,8,12.5
2011-10-04,7,54,12.962962962962962
2011-10-05,4,86,4.651162790697675
2011-10-06,1,19,5.263157894736842
2011-10-07,0,11,0.0
2011-10-08,1,10,10.0
2011-10-09,0,9,0.0
2011-10-10,0,9,0.0
2011-10-11,4,41,9.75609756097561
2011-10-12,12,64,18.75
2011-10-13,3,16,18.75
2011-10-14,1,8,12.5
2011-10-15,1,7,14.285714285714285
2011-10-16,0,6,0.0
2011-10-17,0,7,0.0
2011-10-18,1,36,2.7777777777777777
2011-10-19,1,56,1.7857142857142856
2011-10-20,0,15,0.0
2011-10-21,0,8,0.0
2011-10-22,0,7,0.0
2011-10-23,0,6,0.0
2011-10-24,0,7,0.0
2011-10-25,0,47,0.0
2011-10-26,0,66,0.0
2011-10-27,0,17,0.0
2011-10-28,0,9,0.0
2011-10-29,0,7,0.0
2011-10-30,0,7,0.0
2011-10-31,0,7,0.0
2011-11-01,0,29,0.0
2011-11-02,0,52,0.0
2011-11-03,0,14,0.0
2011-11-04,0,8,0.0
2011-11-05,0,6,0.0
2011-11-06,0,6,0.0
2011-11-07,1,7,14.285714285714285
2011-11-08,0,37,0.0
2011-11-09,0,53,0.0
2011-11-10,0,14,0.0
2011-11-11,0,8,0.0
2011-11-12,0,6,0.0
2011-11-13,0,6,0.0
2011-11-14,0,6,0.0
2011-11-15,0,38,0.0
2011-11-16,0,62,0.0
2011-11-17,0,18,0.0
2011-11-18,0,9,0.0
2011-11-19,0,8,0.0
2011-11-20,0,8,0.0
2011-11-21,0,12,0.0
2011-11-22,0,63,0.0
