date,Hope Solo,Dancing with the Stars,normalized_score
2011-09-19,4,21,19.047619047619047
2011-09-20,13,84,15.476190476190476
2011-09-21,9,100,9.0
2011-09-22,3,19,15.789473684210526
2011-09-23,4,11,36.36363636363637
2011-09-24,3,8,37.5
2011-09-25,3,10,30.0
2011-09-26,3,10,30.0
2011-09-27,14,69,20.28985507246377
2011-09-28,9,84,10.714285714285714
2011-09-29,4,20,20.0
2011-09-30,3,11,27.27272727272727
2011-10-01,3,9,33.33333333333333
2011-10-02,2,7,28.57142857142857
2011-10-03,3,8,37.5
2011-10-04,10,56,17.857142857142858
2011-10-05,22,89,24.719101123595504
2011-10-06,20,20,100.0
2011-10-07,12,11,109.09090909090908
2011-10-08,8,10,80.0
2011-10-09,6,9,66.66666666666666
2011-10-10,5,9,55.55555555555556
2011-10-11,8,44,18.181818181818183
2011-10-12,6,66,9.090909090909092
2011-10-13,3,16,18.75
2011-10-14,3,9,33.33333333333333
2011-10-15,3,7,42.857142857142854
2011-10-16,4,6,66.66666666666666
2011-10-17,3,7,42.857142857142854
2011-10-18,6,40,15.0
2011-10-19,5,59,8.47457627118644
2011-10-20,5,16,31.25
2011-10-21,2,9,22.22222222222222
2011-10-22,2,7,28.57142857142857
2011-10-23,2,6,33.33333333333333
2011-10-24,2,7,28.57142857142857
2011-10-25,10,49,20.408163265306122
2011-10-26,7,67,10.44776119402985
2011-10-27,3,19,15.789473684210526
2011-10-28,3,9,33.33333333333333
2011-10-29,2,8,25.0
2011-10-30,2,7,28.57142857142857
2011-10-31,2,8,25.0
2011-11-01,5,30,16.666666666666664
2011-11-02,3,54,5.555555555555555
2011-11-03,2,14,14.285714285714285
2011-11-04,2,9,22.22222222222222
2011-11-05,2,7,28.57142857142857
2011-11-06,1,6,16.666666666666664
2011-11-07,2,7,28.57142857142857
2011-11-08,5,37,13.513513513513514
2011-11-09,7,54,12.962962962962962
2011-11-10,2,15,13.333333333333334
2011-11-11,2,8,25.0
2011-11-12,2,6,33.33333333333333
2011-11-13,1,6,16.666666666666664
2011-11-14,1,7,14.285714285714285
2011-11-15,11,40,27.500000000000004
2011-11-16,15,63,23.809523809523807
2011-11-17,6,18,33.33333333333333
2011-11-18,2,10,20.0
2011-11-19,2,8,25.0
2011-11-20,2,8,25.0
2011-11-21,2,12,16.666666666666664
2011-11-22,2,65,3.076923076923077
