date,J.R. Martinez,Dancing with the Stars,normalized_score
2011-09-19,0,21,0.0
2011-09-20,3,83,3.614457831325301
2011-09-21,5,100,5.0
2011-09-22,0,18,0.0
2011-09-23,0,11,0.0
2011-09-24,0,8,0.0
2011-09-25,1,10,10.0
2011-09-26,0,10,0.0
2011-09-27,3,71,4.225352112676056
2011-09-28,2,80,2.5
2011-09-29,0,19,0.0
2011-09-30,0,11,0.0
2011-10-01,0,9,0.0
2011-10-02,0,6,0.0
2011-10-03,0,8,0.0
2011-10-04,6,54,11.11111111111111
2011-10-05,3,86,3.488372093023256
2011-10-06,0,19,0.0
2011-10-07,0,11,0.0
2011-10-08,0,10,0.0
2011-10-09,0,9,0.0
2011-10-10,0,9,0.0
2011-10-11,2,41,4.878048780487805
2011-10-12,1,64,1.5625
2011-10-13,0,16,0.0
2011-10-14,0,8,0.0
2011-10-15,0,7,0.0
2011-10-16,0,6,0.0
2011-10-17,0,7,0.0
2011-10-18,3,36,8.333333333333332
2011-10-19,1,56,1.7857142857142856
2011-10-20,0,15,0.0
2011-10-21,0,8,0.0
2011-10-22,0,7,0.0
2011-10-23,0,6,0.0
2011-10-24,0,7,0.0
2011-10-25,2,47,4.25531914893617
2011-10-26,1,66,1.5151515151515151
2011-10-27,0,17,0.0
2011-10-28,0,9,0.0
2011-10-29,0,7,0.0
2011-10-30,0,7,0.0
2011-10-31,0,7,0.0
2011-11-01,1,29,3.4482758620689653
2011-11-02,1,52,1.9230769230769231
2011-11-03,0,14,0.0
2011-11-04,0,8,0.0
2011-11-05,0,6,0.0
2011-11-06,0,6,0.0
2011-11-07,0,7,0.0
2011-11-08,2,37,5.405405405405405
2011-11-09,1,53,1.8867924528301887
2011-11-10,0,14,0.0
2011-11-11,0,8,0.0
2011-11-12,0,6,0.0
2011-11-13,0,6,0.0
2011-11-14,0,6,0.0
2011-11-15,2,38,5.263157894736842
2011-11-16,1,62,1.6129032258064515
2011-11-17,1,18,5.555555555555555
2011-11-18,0,9,0.0
2011-11-19,1,8,12.5
2011-11-20,0,8,0.0
2011-11-21,1,12,8.333333333333332
2011-11-22,2,63,3.1746031746031744
