date,Kristin Cavallari,Dancing with the Stars,normalized_score
2011-09-19,1,21,4.761904761904762
2011-09-20,8,84,9.523809523809524
2011-09-21,4,100,4.0
2011-09-22,1,19,5.263157894736842
2011-09-23,1,11,9.090909090909092
2011-09-24,1,8,12.5
2011-09-25,2,10,20.0
2011-09-26,2,10,20.0
2011-09-27,4,69,5.797101449275362
2011-09-28,3,84,3.571428571428571
2011-09-29,1,20,5.0
2011-09-30,2,11,18.181818181818183
2011-10-01,2,9,22.22222222222222
2011-10-02,1,7,14.285714285714285
2011-10-03,1,8,12.5
2011-10-04,12,56,21.428571428571427
2011-10-05,21,89,23.595505617977526
2011-10-06,4,20,20.0
2011-10-07,2,11,18.181818181818183
2011-10-08,1,10,10.0
2011-10-09,2,9,22.22222222222222
2011-10-10,1,9,11.11111111111111
2011-10-11,3,44,6.8181818181818175
2011-10-12,1,66,1.5151515151515151
2011-10-13,1,16,6.25
2011-10-14,1,9,11.11111111111111
2011-10-15,1,7,14.285714285714285
2011-10-16,1,6,16.666666666666664
2011-10-17,2,7,28.57142857142857
2011-10-18,1,40,2.5
2011-10-19,1,59,1.694915254237288
2011-10-20,1,16,6.25
2011-10-21,1,9,11.11111111111111
2011-10-22,1,7,14.285714285714285
2011-10-23,1,6,16.666666666666664
2011-10-24,1,7,14.285714285714285
2011-10-25,1,49,2.0408163265306123
2011-10-26,1,67,1.4925373134328357
2011-10-27,1,19,5.263157894736842
2011-10-28,1,9,11.11111111111111
2011-10-29,1,8,12.5
2011-10-30,1,7,14.285714285714285
2011-10-31,1,8,12.5
2011-11-01,1,30,3.3333333333333335
2011-11-02,1,54,1.8518518518518516
2011-11-03,1,14,7.142857142857142
2011-11-04,1,9,11.11111111111111
2011-11-05,1,7,14.285714285714285
2011-11-06,1,6,16.666666666666664
2011-11-07,1,7,14.285714285714285
2011-11-08,2,37,5.405405405405405
2011-11-09,1,54,1.8518518518518516
2011-11-10,1,15,6.666666666666667
2011-11-11,1,8,12.5
2011-11-12,1,6,16.666666666666664
2011-11-13,1,6,16.666666666666664
2011-11-14,1,7,14.285714285714285
2011-11-15,1,40,2.5
2011-11-16,1,63,1.5873015873015872
2011-11-17,2,18,11.11111111111111
2011-11-18,2,10,20.0
2011-11-19,2,8,25.0
2011-11-20,2,8,25.0
2011-11-21,3,12,25.0
2011-11-22,2,65,3.076923076923077
