date,Metta World Peace (Ron),Dancing with the Stars,normalized_score
2011-09-19,0,21,0.0
2011-09-20,0,84,0.0
2011-09-21,1,100,1.0
2011-09-22,0,19,0.0
2011-09-23,0,11,0.0
2011-09-24,0,8,0.0
2011-09-25,0,10,0.0
2011-09-26,0,10,0.0
2011-09-27,0,69,0.0
2011-09-28,0,84,0.0
2011-09-29,0,20,0.0
2011-09-30,0,11,0.0
2011-10-01,0,9,0.0
2011-10-02,0,7,0.0
2011-10-03,0,8,0.0
2011-10-04,0,56,0.0
2011-10-05,0,89,0.0
2011-10-06,0,20,0.0
2011-10-07,0,11,0.0
2011-10-08,0,10,0.0
2011-10-09,0,9,0.0
2011-10-10,0,9,0.0
2011-10-11,0,44,0.0
2011-10-12,0,66,0.0
2011-10-13,0,16,0.0
2011-10-14,0,9,0.0
2011-10-15,0,7,0.0
2011-10-16,0,6,0.0
2011-10-17,0,7,0.0
2011-10-18,0,40,0.0
2011-10-19,0,59,0.0
2011-10-20,0,16,0.0
2011-10-21,0,9,0.0
2011-10-22,0,7,0.0
2011-10-23,0,6,0.0
2011-10-24,0,7,0.0
2011-10-25,0,49,0.0
2011-10-26,0,67,0.0
2011-10-27,0,19,0.0
2011-10-28,0,9,0.0
2011-10-29,0,8,0.0
2011-10-30,0,7,0.0
2011-10-31,0,8,0.0
2011-11-01,0,30,0.0
2011-11-02,0,54,0.0
2011-11-03,0,14,0.0
2011-11-04,0,9,0.0
2011-11-05,0,7,0.0
2011-11-06,0,6,0.0
2011-11-07,0,7,0.0
2011-11-08,0,37,0.0
2011-11-09,0,54,0.0
2011-11-10,0,15,0.0
2011-11-11,0,8,0.0
2011-11-12,0,6,0.0
2011-11-13,0,6,0.0
2011-11-14,0,7,0.0
2011-11-15,0,40,0.0
2011-11-16,0,63,0.0
2011-11-17,0,18,0.0
2011-11-18,0,10,0.0
2011-11-19,0,8,0.0
2011-11-20,0,8,0.0
2011-11-21,0,12,0.0
2011-11-22,0,65,0.0
