date,Nancy Grace,Dancing with the Stars,normalized_score
2011-09-19,2,19,10.526315789473683
2011-09-20,12,78,15.384615384615385
2011-09-21,7,93,7.526881720430108
2011-09-22,3,18,16.666666666666664
2011-09-23,3,10,30.0
2011-09-24,2,8,25.0
2011-09-25,2,10,20.0
2011-09-26,2,10,20.0
2011-09-27,100,64,156.25
2011-09-28,79,78,101.28205128205127
2011-09-29,35,18,194.44444444444443
2011-09-30,14,10,140.0
2011-10-01,11,8,137.5
2011-10-02,9,6,150.0
2011-10-03,7,8,87.5
2011-10-04,15,52,28.846153846153843
2011-10-05,17,83,20.481927710843372
2011-10-06,11,19,57.89473684210527
2011-10-07,9,11,81.81818181818183
2011-10-08,8,10,80.0
2011-10-09,6,9,66.66666666666666
2011-10-10,4,9,44.44444444444444
2011-10-11,7,41,17.073170731707318
2011-10-12,6,62,9.67741935483871
2011-10-13,3,15,20.0
2011-10-14,3,8,37.5
2011-10-15,2,7,28.57142857142857
2011-10-16,2,6,33.33333333333333
2011-10-17,2,7,28.57142857142857
2011-10-18,8,37,21.62162162162162
2011-10-19,4,55,7.2727272727272725
2011-10-20,3,15,20.0
2011-10-21,2,8,25.0
2011-10-22,3,7,42.857142857142854
2011-10-23,2,6,33.33333333333333
2011-10-24,2,7,28.57142857142857
2011-10-25,4,45,8.88888888888889
2011-10-26,3,63,4.761904761904762
2011-10-27,3,18,16.666666666666664
2011-10-28,3,9,33.33333333333333
2011-10-29,2,7,28.57142857142857
2011-10-30,2,7,28.57142857142857
2011-10-31,2,7,28.57142857142857
2011-11-01,4,28,14.285714285714285
2011-11-02,4,51,7.8431372549019605
2011-11-03,2,13,15.384615384615385
2011-11-04,2,8,25.0
2011-11-05,2,6,33.33333333333333
2011-11-06,1,6,16.666666666666664
2011-11-07,2,7,28.57142857142857
2011-11-08,7,35,20.0
2011-11-09,9,50,18.0
2011-11-10,4,14,28.57142857142857
2011-11-11,2,7,28.57142857142857
2011-11-12,2,6,33.33333333333333
2011-11-13,1,6,16.666666666666664
2011-11-14,2,6,33.33333333333333
2011-11-15,2,37,5.405405405405405
2011-11-16,2,58,3.4482758620689653
2011-11-17,2,17,11.76470588235294
2011-11-18,2,9,22.22222222222222
2011-11-19,2,8,25.0
2011-11-20,1,8,12.5
2011-11-21,1,11,9.090909090909092
2011-11-22,2,61,3.278688524590164
