date,Donald Driver,Dancing with the Stars,normalized_score
2012-03-19,1,21,4.761904761904762
2012-03-20,9,100,9.0
2012-03-21,2,26,7.6923076923076925
2012-03-22,1,13,7.6923076923076925
2012-03-23,0,8,0.0
2012-03-24,0,8,0.0
2012-03-25,1,17,5.88235294117647
2012-03-26,0,12,0.0
2012-03-27,4,55,7.2727272727272725
2012-03-28,2,67,2.9850746268656714
2012-03-29,1,14,7.142857142857142
2012-03-30,0,9,0.0
2012-03-31,0,6,0.0
2012-04-01,0,6,0.0
2012-04-02,0,7,0.0
2012-04-03,4,51,7.8431372549019605
2012-04-04,2,62,3.225806451612903
2012-04-05,0,14,0.0
2012-04-06,0,9,0.0
2012-04-07,0,8,0.0
2012-04-08,0,7,0.0
2012-04-09,0,8,0.0
2012-04-10,5,44,11.363636363636363
2012-04-11,2,55,3.6363636363636362
2012-04-12,1,14,7.142857142857142
2012-04-13,0,7,0.0
2012-04-14,1,6,16.666666666666664
2012-04-15,0,6,0.0
2012-04-16,1,7,14.285714285714285
2012-04-17,3,41,7.317073170731707
2012-04-18,1,49,2.0408163265306123
2012-04-19,0,14,0.0
2012-04-20,0,8,0.0
2012-04-21,0,6,0.0
2012-04-22,0,5,0.0
2012-04-23,0,7,0.0
2012-04-24,3,37,8.108108108108109
2012-04-25,1,44,2.272727272727273
2012-04-26,0,13,0.0
2012-04-27,1,8,12.5
2012-04-28,0,5,0.0
2012-04-29,0,5,0.0
2012-04-30,1,6,16.666666666666664
2012-05-01,2,35,5.714285714285714
2012-05-02,1,47,2.127659574468085
2012-05-03,0,12,0.0
2012-05-04,0,7,0.0
2012-05-05,0,5,0.0
2012-05-06,0,5,0.0
2012-05-07,0,6,0.0
2012-05-08,4,41,9.75609756097561
2012-05-09,2,55,3.6363636363636362
2012-05-10,1,13,7.6923076923076925
2012-05-11,1,7,14.285714285714285
2012-05-12,0,6,0.0
2012-05-13,0,5,0.0
2012-05-14,1,8,12.5
2012-05-15,5,55,9.090909090909092
2012-05-16,3,66,4.545454545454546
2012-05-17,1,15,6.666666666666667
2012-05-18,1,8,12.5
2012-05-19,1,6,16.666666666666664
2012-05-20,1,6,16.666666666666664
2012-05-21,1,11,9.090909090909092
2012-05-22,9,65,13.846153846153847
