date,Gavin DeGraw,Dancing with the Stars,normalized_score
2012-03-19,2,21,9.523809523809524
2012-03-20,9,100,9.0
2012-03-21,2,26,7.6923076923076925
2012-03-22,2,13,15.384615384615385
2012-03-23,2,8,25.0
2012-03-24,2,8,25.0
2012-03-25,3,17,17.647058823529413
2012-03-26,1,12,8.333333333333332
2012-03-27,9,55,16.363636363636363
2012-03-28,6,67,8.955223880597014
2012-03-29,2,14,14.285714285714285
2012-03-30,2,9,22.22222222222222
2012-03-31,2,6,33.33333333333333
2012-04-01,2,6,33.33333333333333
2012-04-02,2,7,28.57142857142857
2012-04-03,9,51,17.647058823529413
2012-04-04,7,62,11.29032258064516
2012-04-05,5,14,35.714285714285715
2012-04-06,3,9,33.33333333333333
2012-04-07,2,8,25.0
2012-04-08,2,7,28.57142857142857
2012-04-09,2,8,25.0
2012-04-10,5,44,11.363636363636363
2012-04-11,4,55,7.2727272727272725
2012-04-12,2,14,14.285714285714285
2012-04-13,2,7,28.57142857142857
2012-04-14,2,6,33.33333333333333
2012-04-15,1,6,16.666666666666664
2012-04-16,2,7,28.57142857142857
2012-04-17,7,41,17.073170731707318
2012-04-18,11,49,22.448979591836736
2012-04-19,4,14,28.57142857142857
2012-04-20,2,8,25.0
2012-04-21,2,6,33.33333333333333
2012-04-22,2,5,40.0
2012-04-23,1,7,14.285714285714285
2012-04-24,2,37,5.405405405405405
2012-04-25,1,44,2.272727272727273
2012-04-26,1,13,7.6923076923076925
2012-04-27,1,8,12.5
2012-04-28,1,5,20.0
2012-04-29,1,5,20.0
2012-04-30,1,6,16.666666666666664
2012-05-01,1,35,2.857142857142857
2012-05-02,3,47,6.382978723404255
2012-05-03,2,12,16.666666666666664
2012-05-04,1,7,14.285714285714285
2012-05-05,2,5,40.0
2012-05-06,1,5,20.0
2012-05-07,1,6,16.666666666666664
2012-05-08,1,41,2.4390243902439024
2012-05-09,1,55,1.8181818181818181
2012-05-10,1,13,7.6923076923076925
2012-05-11,1,7,14.285714285714285
2012-05-12,1,6,16.666666666666664
2012-05-13,1,5,20.0
2012-05-14,1,8,12.5
2012-05-15,1,55,1.8181818181818181
2012-05-16,1,66,1.5151515151515151
2012-05-17,1,15,6.666666666666667
2012-05-18,1,8,12.5
2012-05-19,1,6,16.666666666666664
2012-05-20,1,6,16.666666666666664
2012-05-21,1,11,9.090909090909092
2012-05-22,1,65,1.5384615384615385
