date,Gladys Knight,Dancing with the Stars,normalized_score
2012-03-19,1,21,4.761904761904762
2012-03-20,38,100,38.0
2012-03-21,5,26,19.230769230769234
2012-03-22,2,13,15.384615384615385
2012-03-23,2,8,25.0
2012-03-24,2,8,25.0
2012-03-25,7,17,41.17647058823529
2012-03-26,2,12,16.666666666666664
2012-03-27,14,55,25.454545454545453
2012-03-28,6,67,8.955223880597014
2012-03-29,1,14,7.142857142857142
2012-03-30,1,9,11.11111111111111
2012-03-31,1,6,16.666666666666664
2012-04-01,1,6,16.666666666666664
2012-04-02,1,7,14.285714285714285
2012-04-03,7,51,13.725490196078432
2012-04-04,4,62,6.451612903225806
2012-04-05,1,14,7.142857142857142
2012-04-06,1,9,11.11111111111111
2012-04-07,1,8,12.5
2012-04-08,1,7,14.285714285714285
2012-04-09,1,8,12.5
2012-04-10,7,44,15.909090909090908
2012-04-11,2,55,3.6363636363636362
2012-04-12,1,14,7.142857142857142
2012-04-13,1,7,14.285714285714285
2012-04-14,1,6,16.666666666666664
2012-04-15,1,6,16.666666666666664
2012-04-16,1,7,14.285714285714285
2012-04-17,8,41,19.51219512195122
2012-04-18,2,49,4.081632653061225
2012-04-19,1,14,7.142857142857142
2012-04-20,1,8,12.5
2012-04-21,1,6,16.666666666666664
2012-04-22,1,5,20.0
2012-04-23,1,7,14.285714285714285
2012-04-24,9,37,24.324324324324326
2012-04-25,11,44,25.0
2012-04-26,2,13,15.384615384615385
2012-04-27,1,8,12.5
2012-04-28,1,5,20.0
2012-04-29,1,5,20.0
2012-04-30,1,6,16.666666666666664
2012-05-01,1,35,2.857142857142857
2012-05-02,0,47,0.0
2012-05-03,0,12,0.0
2012-05-04,1,7,14.285714285714285
2012-05-05,0,5,0.0
2012-05-06,1,5,20.0
2012-05-07,0,6,0.0
2012-05-08,0,41,0.0
2012-05-09,0,55,0.0
2012-05-10,0,13,0.0
2012-05-11,0,7,0.0
2012-05-12,1,6,16.666666666666664
2012-05-13,1,5,20.0
2012-05-14,0,8,0.0
2012-05-15,0,55,0.0
2012-05-16,0,66,0.0
2012-05-17,0,15,0.0
2012-05-18,0,8,0.0
2012-05-19,1,6,16.666666666666664
2012-05-20,0,6,0.0
2012-05-21,1,11,9.090909090909092
2012-05-22,0,65,0.0
