date,Katherine Jenkins,Dancing with the Stars,normalized_score
2012-03-19,1,21,4.761904761904762
2012-03-20,7,100,7.000000000000001
2012-03-21,2,26,7.6923076923076925
2012-03-22,1,13,7.6923076923076925
2012-03-23,1,8,12.5
2012-03-24,1,8,12.5
2012-03-25,1,17,5.88235294117647
2012-03-26,0,12,0.0
2012-03-27,12,55,21.818181818181817
2012-03-28,7,67,10.44776119402985
2012-03-29,1,14,7.142857142857142
2012-03-30,1,9,11.11111111111111
2012-03-31,1,6,16.666666666666664
2012-04-01,1,6,16.666666666666664
2012-04-02,0,7,0.0
2012-04-03,7,51,13.725490196078432
2012-04-04,5,62,8.064516129032258
2012-04-05,1,14,7.142857142857142
2012-04-06,2,9,22.22222222222222
2012-04-07,1,8,12.5
2012-04-08,1,7,14.285714285714285
2012-04-09,1,8,12.5
2012-04-10,3,44,6.8181818181818175
2012-04-11,1,55,1.8181818181818181
2012-04-12,1,14,7.142857142857142
2012-04-13,1,7,14.285714285714285
2012-04-14,1,6,16.666666666666664
2012-04-15,0,6,0.0
2012-04-16,1,7,14.285714285714285
2012-04-17,3,41,7.317073170731707
2012-04-18,1,49,2.0408163265306123
2012-04-19,1,14,7.142857142857142
2012-04-20,0,8,0.0
2012-04-21,0,6,0.0
2012-04-22,0,5,0.0
2012-04-23,0,7,0.0
2012-04-24,4,37,10.81081081081081
2012-04-25,2,44,4.545454545454546
2012-04-26,2,13,15.384615384615385
2012-04-27,1,8,12.5
2012-04-28,1,5,20.0
2012-04-29,0,5,0.0
2012-04-30,1,6,16.666666666666664
2012-05-01,3,35,8.571428571428571
2012-05-02,1,47,2.127659574468085
2012-05-03,1,12,8.333333333333332
2012-05-04,0,7,0.0
2012-05-05,1,5,20.0
2012-05-06,0,5,0.0
2012-05-07,1,6,16.666666666666664
2012-05-08,4,41,9.75609756097561
2012-05-09,2,55,3.6363636363636362
2012-05-10,1,13,7.6923076923076925
2012-05-11,1,7,14.285714285714285
2012-05-12,2,6,33.33333333333333
2012-05-13,0,5,0.0
2012-05-14,1,8,12.5
2012-05-15,21,55,38.18181818181819
2012-05-16,5,66,7.575757575757576
2012-05-17,1,15,6.666666666666667
2012-05-18,1,8,12.5
2012-05-19,1,6,16.666666666666664
2012-05-20,1,6,16.666666666666664
2012-05-21,1,11,9.090909090909092
2012-05-22,5,65,7.6923076923076925
