date,Maria Menounos,Dancing with the Stars,normalized_score
2012-03-19,3,21,14.285714285714285
2012-03-20,10,100,10.0
2012-03-21,2,26,7.6923076923076925
2012-03-22,1,13,7.6923076923076925
2012-03-23,1,8,12.5
2012-03-24,1,8,12.5
2012-03-25,2,17,11.76470588235294
2012-03-26,1,12,8.333333333333332
2012-03-27,6,55,10.909090909090908
2012-03-28,4,67,5.970149253731343
2012-03-29,1,14,7.142857142857142
2012-03-30,1,9,11.11111111111111
2012-03-31,1,6,16.666666666666664
2012-04-01,3,6,50.0
2012-04-02,4,7,57.14285714285714
2012-04-03,12,51,23.52941176470588
2012-04-04,6,62,9.67741935483871
2012-04-05,5,14,35.714285714285715
2012-04-06,2,9,22.22222222222222
2012-04-07,2,8,25.0
2012-04-08,1,7,14.285714285714285
2012-04-09,1,8,12.5
2012-04-10,7,44,15.909090909090908
2012-04-11,3,55,5.454545454545454
2012-04-12,1,14,7.142857142857142
2012-04-13,1,7,14.285714285714285
2012-04-14,1,6,16.666666666666664
2012-04-15,1,6,16.666666666666664
2012-04-16,2,7,28.57142857142857
2012-04-17,16,41,39.02439024390244
2012-04-18,9,49,18.367346938775512
2012-04-19,3,14,21.428571428571427
2012-04-20,2,8,25.0
2012-04-21,2,6,33.33333333333333
2012-04-22,1,5,20.0
2012-04-23,2,7,28.57142857142857
2012-04-24,4,37,10.81081081081081
2012-04-25,2,44,4.545454545454546
2012-04-26,1,13,7.6923076923076925
2012-04-27,1,8,12.5
2012-04-28,1,5,20.0
2012-04-29,1,5,20.0
2012-04-30,1,6,16.666666666666664
2012-05-01,8,35,22.857142857142858
2012-05-02,3,47,6.382978723404255
2012-05-03,1,12,8.333333333333332
2012-05-04,1,7,14.285714285714285
2012-05-05,1,5,20.0
2012-05-06,1,5,20.0
2012-05-07,2,6,33.33333333333333
2012-05-08,9,41,21.951219512195124
2012-05-09,4,55,7.2727272727272725
2012-05-10,2,13,15.384615384615385
2012-05-11,2,7,28.57142857142857
2012-05-12,1,6,16.666666666666664
2012-05-13,1,5,20.0
2012-05-14,2,8,25.0
2012-05-15,11,55,20.0
2012-05-16,10,66,15.151515151515152
2012-05-17,3,15,20.0
2012-05-18,2,8,25.0
2012-05-19,1,6,16.666666666666664
2012-05-20,1,6,16.666666666666664
2012-05-21,1,11,9.090909090909092
2012-05-22,1,65,1.5384615384615385
