date,Melissa Gilbert,Dancing with the Stars,normalized_score
2012-03-19,1,21,4.761904761904762
2012-03-20,24,100,24.0
2012-03-21,4,26,15.384615384615385
2012-03-22,1,13,7.6923076923076925
2012-03-23,1,8,12.5
2012-03-24,1,8,12.5
2012-03-25,4,17,23.52941176470588
2012-03-26,1,12,8.333333333333332
2012-03-27,13,55,23.636363636363637
2012-03-28,5,67,7.462686567164178
2012-03-29,1,14,7.142857142857142
2012-03-30,3,9,33.33333333333333
2012-03-31,1,6,16.666666666666664
2012-04-01,2,6,33.33333333333333
2012-04-02,1,7,14.285714285714285
2012-04-03,11,51,21.568627450980394
2012-04-04,6,62,9.67741935483871
2012-04-05,1,14,7.142857142857142
2012-04-06,1,9,11.11111111111111
2012-04-07,1,8,12.5
2012-04-08,1,7,14.285714285714285
2012-04-09,1,8,12.5
2012-04-10,27,44,61.36363636363637
2012-04-11,15,55,27.27272727272727
2012-04-12,3,14,21.428571428571427
2012-04-13,2,7,28.57142857142857
2012-04-14,2,6,33.33333333333333
2012-04-15,1,6,16.666666666666664
2012-04-16,2,7,28.57142857142857
2012-04-17,7,41,17.073170731707318
2012-04-18,2,49,4.081632653061225
2012-04-19,1,14,7.142857142857142
2012-04-20,1,8,12.5
2012-04-21,1,6,16.666666666666664
2012-04-22,1,5,20.0
2012-04-23,1,7,14.285714285714285
2012-04-24,7,37,18.91891891891892
2012-04-25,4,44,9.090909090909092
2012-04-26,1,13,7.6923076923076925
2012-04-27,1,8,12.5
2012-04-28,1,5,20.0
2012-04-29,1,5,20.0
2012-04-30,1,6,16.666666666666664
2012-05-01,5,35,14.285714285714285
2012-05-02,2,47,4.25531914893617
2012-05-03,1,12,8.333333333333332
2012-05-04,1,7,14.285714285714285
2012-05-05,1,5,20.0
2012-05-06,1,5,20.0
2012-05-07,1,6,16.666666666666664
2012-05-08,7,41,17.073170731707318
2012-05-09,9,55,16.363636363636363
2012-05-10,2,13,15.384615384615385
2012-05-11,1,7,14.285714285714285
2012-05-12,1,6,16.666666666666664
2012-05-13,1,5,20.0
2012-05-14,1,8,12.5
2012-05-15,1,55,1.8181818181818181
2012-05-16,1,66,1.5151515151515151
2012-05-17,1,15,6.666666666666667
2012-05-18,0,8,0.0
2012-05-19,0,6,0.0
2012-05-20,0,6,0.0
2012-05-21,0,11,0.0
2012-05-22,0,65,0.0
