date,Roshon Fegan,Dancing with the Stars,normalized_score
2012-03-19,1,21,4.761904761904762
2012-03-20,7,100,7.000000000000001
2012-03-21,1,26,3.8461538461538463
2012-03-22,1,13,7.6923076923076925
2012-03-23,0,8,0.0
2012-03-24,1,8,12.5
2012-03-25,1,17,5.88235294117647
2012-03-26,1,12,8.333333333333332
2012-03-27,3,55,5.454545454545454
2012-03-28,4,67,5.970149253731343
2012-03-29,1,14,7.142857142857142
2012-03-30,0,9,0.0
2012-03-31,1,6,16.666666666666664
2012-04-01,1,6,16.666666666666664
2012-04-02,0,7,0.0
2012-04-03,3,51,5.88235294117647
2012-04-04,2,62,3.225806451612903
2012-04-05,0,14,0.0
2012-04-06,0,9,0.0
2012-04-07,0,8,0.0
2012-04-08,0,7,0.0
2012-04-09,1,8,12.5
2012-04-10,3,44,6.8181818181818175
2012-04-11,1,55,1.8181818181818181
2012-04-12,0,14,0.0
2012-04-13,0,7,0.0
2012-04-14,0,6,0.0
2012-04-15,0,6,0.0
2012-04-16,0,7,0.0
2012-04-17,3,41,7.317073170731707
2012-04-18,1,49,2.0408163265306123
2012-04-19,0,14,0.0
2012-04-20,0,8,0.0
2012-04-21,1,6,16.666666666666664
2012-04-22,1,5,20.0
2012-04-23,0,7,0.0
2012-04-24,3,37,8.108108108108109
2012-04-25,2,44,4.545454545454546
2012-04-26,0,13,0.0
2012-04-27,0,8,0.0
2012-04-28,0,5,0.0
2012-04-29,1,5,20.0
2012-04-30,0,6,0.0
2012-05-01,2,35,5.714285714285714
2012-05-02,2,47,4.25531914893617
2012-05-03,0,12,0.0
2012-05-04,0,7,0.0
2012-05-05,0,5,0.0
2012-05-06,0,5,0.0
2012-05-07,0,6,0.0
2012-05-08,4,41,9.75609756097561
2012-05-09,3,55,5.454545454545454
2012-05-10,1,13,7.6923076923076925
2012-05-11,1,7,14.285714285714285
2012-05-12,0,6,0.0
2012-05-13,0,5,0.0
2012-05-14,0,8,0.0
2012-05-15,0,55,0.0
2012-05-16,0,66,0.0
2012-05-17,0,15,0.0
2012-05-18,0,8,0.0
2012-05-19,0,6,0.0
2012-05-20,0,6,0.0
2012-05-21,0,11,0.0
2012-05-22,0,65,0.0
