date,Apolo Anton Ohno,Dancing with the Stars,normalized_score
2012-09-24,0,28,0.0
2012-09-25,1,87,1.1494252873563218
2012-09-26,1,100,1.0
2012-09-27,0,21,0.0
2012-09-28,0,12,0.0
2012-09-29,0,10,0.0
2012-09-30,0,7,0.0
2012-10-01,0,11,0.0
2012-10-02,1,48,2.083333333333333
2012-10-03,0,83,0.0
2012-10-04,0,17,0.0
2012-10-05,0,11,0.0
2012-10-06,0,8,0.0
2012-10-07,0,7,0.0
2012-10-08,0,8,0.0
2012-10-09,0,51,0.0
2012-10-10,0,98,0.0
2012-10-11,0,21,0.0
2012-10-12,0,9,0.0
2012-10-13,0,9,0.0
2012-10-14,0,7,0.0
2012-10-15,0,10,0.0
2012-10-16,1,66,1.5151515151515151
2012-10-17,0,78,0.0
2012-10-18,0,19,0.0
2012-10-19,0,12,0.0
2012-10-20,0,9,0.0
2012-10-21,0,8,0.0
2012-10-22,0,14,0.0
2012-10-23,0,37,0.0
2012-10-24,1,68,1.4705882352941175
2012-10-25,0,26,0.0
2012-10-26,0,14,0.0
2012-10-27,0,10,0.0
2012-10-28,0,8,0.0
2012-10-29,0,12,0.0
2012-10-30,1,55,1.8181818181818181
2012-10-31,0,82,0.0
2012-11-01,0,22,0.0
2012-11-02,0,11,0.0
2012-11-03,0,10,0.0
2012-11-04,0,8,0.0
2012-11-05,0,9,0.0
2012-11-06,1,37,2.7027027027027026
2012-11-07,0,16,0.0
2012-11-08,0,16,0.0
2012-11-09,0,15,0.0
2012-11-10,0,9,0.0
2012-11-11,0,7,0.0
2012-11-12,0,9,0.0
2012-11-13,0,48,0.0
2012-11-14,0,89,0.0
2012-11-15,0,19,0.0
2012-11-16,0,10,0.0
2012-11-17,0,8,0.0
2012-11-18,0,7,0.0
2012-11-19,0,8,0.0
2012-11-20,1,61,1.639344262295082
2012-11-21,1,99,1.0101010101010102
2012-11-22,0,24,0.0
2012-11-23,0,12,0.0
2012-11-24,0,11,0.0
2012-11-25,0,9,0.0
2012-11-26,0,14,0.0
2012-11-27,0,81,0.0
