date,Drew Lachey,Dancing with the Stars,normalized_score
2012-09-24,0,28,0.0
2012-09-25,5,87,5.747126436781609
2012-09-26,5,100,5.0
2012-09-27,1,21,4.761904761904762
2012-09-28,0,12,0.0
2012-09-29,0,10,0.0
2012-09-30,0,7,0.0
2012-10-01,0,11,0.0
2012-10-02,5,48,10.416666666666668
2012-10-03,2,83,2.4096385542168677
2012-10-04,1,17,5.88235294117647
2012-10-05,0,11,0.0
2012-10-06,1,8,12.5
2012-10-07,1,7,14.285714285714285
2012-10-08,0,8,0.0
2012-10-09,2,51,3.9215686274509802
2012-10-10,4,98,4.081632653061225
2012-10-11,1,21,4.761904761904762
2012-10-12,0,9,0.0
2012-10-13,0,9,0.0
2012-10-14,0,7,0.0
2012-10-15,0,10,0.0
2012-10-16,0,66,0.0
2012-10-17,0,78,0.0
2012-10-18,0,19,0.0
2012-10-19,0,12,0.0
2012-10-20,0,9,0.0
2012-10-21,0,8,0.0
2012-10-22,0,14,0.0
2012-10-23,0,37,0.0
2012-10-24,0,68,0.0
2012-10-25,0,26,0.0
2012-10-26,0,14,0.0
2012-10-27,0,10,0.0
2012-10-28,0,8,0.0
2012-10-29,0,12,0.0
2012-10-30,0,55,0.0
2012-10-31,0,82,0.0
2012-11-01,0,22,0.0
2012-11-02,0,11,0.0
2012-11-03,0,10,0.0
2012-11-04,0,8,0.0
2012-11-05,0,9,0.0
2012-11-06,0,37,0.0
2012-11-07,0,16,0.0
2012-11-08,0,16,0.0
2012-11-09,0,15,0.0
2012-11-10,0,9,0.0
2012-11-11,0,7,0.0
2012-11-12,0,9,0.0
2012-11-13,0,48,0.0
2012-11-14,0,89,0.0
2012-11-15,0,19,0.0
2012-11-16,0,10,0.0
2012-11-17,0,8,0.0
2012-11-18,0,7,0.0
2012-11-19,0,8,0.0
2012-11-20,0,61,0.0
2012-11-21,0,99,0.0
2012-11-22,0,24,0.0
2012-11-23,0,12,0.0
2012-11-24,0,11,0.0
2012-11-25,0,9,0.0
2012-11-26,0,14,0.0
2012-11-27,0,81,0.0
