date,Gilles Marini,Dancing with the Stars,normalized_score
2012-09-24,1,28,3.571428571428571
2012-09-25,6,87,6.896551724137931
2012-09-26,3,100,3.0
2012-09-27,1,21,4.761904761904762
2012-09-28,1,12,8.333333333333332
2012-09-29,0,10,0.0
2012-09-30,0,7,0.0
2012-10-01,1,11,9.090909090909092
2012-10-02,4,48,8.333333333333332
2012-10-03,2,83,2.4096385542168677
2012-10-04,1,17,5.88235294117647
2012-10-05,0,11,0.0
2012-10-06,0,8,0.0
2012-10-07,0,7,0.0
2012-10-08,0,8,0.0
2012-10-09,2,51,3.9215686274509802
2012-10-10,1,98,1.0204081632653061
2012-10-11,0,21,0.0
2012-10-12,0,9,0.0
2012-10-13,0,9,0.0
2012-10-14,0,7,0.0
2012-10-15,0,10,0.0
2012-10-16,5,66,7.575757575757576
2012-10-17,3,78,3.8461538461538463
2012-10-18,1,19,5.263157894736842
2012-10-19,1,12,8.333333333333332
2012-10-20,0,9,0.0
2012-10-21,1,8,12.5
2012-10-22,1,14,7.142857142857142
2012-10-23,7,37,18.91891891891892
2012-10-24,5,68,7.352941176470589
2012-10-25,2,26,7.6923076923076925
2012-10-26,1,14,7.142857142857142
2012-10-27,1,10,10.0
2012-10-28,1,8,12.5
2012-10-29,1,12,8.333333333333332
2012-10-30,3,55,5.454545454545454
2012-10-31,2,82,2.4390243902439024
2012-11-01,1,22,4.545454545454546
2012-11-02,0,11,0.0
2012-11-03,0,10,0.0
2012-11-04,0,8,0.0
2012-11-05,0,9,0.0
2012-11-06,3,37,8.108108108108109
2012-11-07,1,16,6.25
2012-11-08,0,16,0.0
2012-11-09,0,15,0.0
2012-11-10,0,9,0.0
2012-11-11,0,7,0.0
2012-11-12,0,9,0.0
2012-11-13,5,48,10.416666666666668
2012-11-14,6,89,6.741573033707865
2012-11-15,1,19,5.263157894736842
2012-11-16,1,10,10.0
2012-11-17,1,8,12.5
2012-11-18,0,7,0.0
2012-11-19,0,8,0.0
2012-11-20,0,61,0.0
2012-11-21,1,99,1.0101010101010102
2012-11-22,0,24,0.0
2012-11-23,0,12,0.0
2012-11-24,0,11,0.0
2012-11-25,0,9,0.0
2012-11-26,0,14,0.0
2012-11-27,0,81,0.0
