date,Kelly Monaco,Dancing with the Stars,normalized_score
2012-09-24,2,28,7.142857142857142
2012-09-25,24,87,27.586206896551722
2012-09-26,17,100,17.0
2012-09-27,3,21,14.285714285714285
2012-09-28,2,12,16.666666666666664
2012-09-29,2,10,20.0
2012-09-30,2,7,28.57142857142857
2012-10-01,2,11,18.181818181818183
2012-10-02,10,48,20.833333333333336
2012-10-03,8,83,9.63855421686747
2012-10-04,2,17,11.76470588235294
2012-10-05,1,11,9.090909090909092
2012-10-06,1,8,12.5
2012-10-07,1,7,14.285714285714285
2012-10-08,1,8,12.5
2012-10-09,7,51,13.725490196078432
2012-10-10,7,98,7.142857142857142
2012-10-11,2,21,9.523809523809524
2012-10-12,1,9,11.11111111111111
2012-10-13,1,9,11.11111111111111
2012-10-14,1,7,14.285714285714285
2012-10-15,1,10,10.0
2012-10-16,32,66,48.484848484848484
2012-10-17,19,78,24.358974358974358
2012-10-18,7,19,36.84210526315789
2012-10-19,4,12,33.33333333333333
2012-10-20,3,9,33.33333333333333
2012-10-21,2,8,25.0
2012-10-22,3,14,21.428571428571427
2012-10-23,10,37,27.027027027027028
2012-10-24,7,68,10.294117647058822
2012-10-25,3,26,11.538461538461538
2012-10-26,2,14,14.285714285714285
2012-10-27,2,10,20.0
2012-10-28,2,8,25.0
2012-10-29,2,12,16.666666666666664
2012-10-30,12,55,21.818181818181817
2012-10-31,7,82,8.536585365853659
2012-11-01,2,22,9.090909090909092
2012-11-02,2,11,18.181818181818183
2012-11-03,2,10,20.0
2012-11-04,2,8,25.0
2012-11-05,1,9,11.11111111111111
2012-11-06,20,37,54.054054054054056
2012-11-07,4,16,25.0
2012-11-08,2,16,12.5
2012-11-09,2,15,13.333333333333334
2012-11-10,2,9,22.22222222222222
2012-11-11,1,7,14.285714285714285
2012-11-12,2,9,22.22222222222222
2012-11-13,18,48,37.5
2012-11-14,10,89,11.235955056179774
2012-11-15,4,19,21.052631578947366
2012-11-16,2,10,20.0
2012-11-17,2,8,25.0
2012-11-18,2,7,28.57142857142857
2012-11-19,2,8,25.0
2012-11-20,29,61,47.540983606557376
2012-11-21,12,99,12.121212121212121
2012-11-22,5,24,20.833333333333336
2012-11-23,3,12,25.0
2012-11-24,3,11,27.27272727272727
2012-11-25,3,9,33.33333333333333
2012-11-26,4,14,28.57142857142857
2012-11-27,24,81,29.629629629629626
