date,Kirstie Alley,Dancing with the Stars,normalized_score
2012-09-24,2,28,7.142857142857142
2012-09-25,11,87,12.643678160919542
2012-09-26,6,100,6.0
2012-09-27,4,21,19.047619047619047
2012-09-28,2,12,16.666666666666664
2012-09-29,1,10,10.0
2012-09-30,1,7,14.285714285714285
2012-10-01,1,11,9.090909090909092
2012-10-02,8,48,16.666666666666664
2012-10-03,3,83,3.614457831325301
2012-10-04,1,17,5.88235294117647
2012-10-05,1,11,9.090909090909092
2012-10-06,1,8,12.5
2012-10-07,1,7,14.285714285714285
2012-10-08,1,8,12.5
2012-10-09,5,51,9.803921568627452
2012-10-10,3,98,3.061224489795918
2012-10-11,1,21,4.761904761904762
2012-10-12,1,9,11.11111111111111
2012-10-13,1,9,11.11111111111111
2012-10-14,2,7,28.57142857142857
2012-10-15,1,10,10.0
2012-10-16,5,66,7.575757575757576
2012-10-17,3,78,3.8461538461538463
2012-10-18,1,19,5.263157894736842
2012-10-19,1,12,8.333333333333332
2012-10-20,1,9,11.11111111111111
2012-10-21,1,8,12.5
2012-10-22,1,14,7.142857142857142
2012-10-23,5,37,13.513513513513514
2012-10-24,2,68,2.941176470588235
2012-10-25,1,26,3.8461538461538463
2012-10-26,1,14,7.142857142857142
2012-10-27,1,10,10.0
2012-10-28,1,8,12.5
2012-10-29,1,12,8.333333333333332
2012-10-30,10,55,18.181818181818183
2012-10-31,4,82,4.878048780487805
2012-11-01,1,22,4.545454545454546
2012-11-02,2,11,18.181818181818183
2012-11-03,6,10,60.0
2012-11-04,3,8,37.5
2012-11-05,2,9,22.22222222222222
2012-11-06,11,37,29.72972972972973
2012-11-07,5,16,31.25
2012-11-08,5,16,31.25
2012-11-09,5,15,33.33333333333333
2012-11-10,4,9,44.44444444444444
2012-11-11,3,7,42.857142857142854
2012-11-12,2,9,22.22222222222222
2012-11-13,6,48,12.5
2012-11-14,4,89,4.49438202247191
2012-11-15,2,19,10.526315789473683
2012-11-16,1,10,10.0
2012-11-17,1,8,12.5
2012-11-18,1,7,14.285714285714285
2012-11-19,1,8,12.5
2012-11-20,1,61,1.639344262295082
2012-11-21,2,99,2.0202020202020203
2012-11-22,2,24,8.333333333333332
2012-11-23,2,12,16.666666666666664
2012-11-24,2,11,18.181818181818183
2012-11-25,1,9,11.11111111111111
2012-11-26,1,14,7.142857142857142
2012-11-27,1,81,1.2345679012345678
