date,Pamela Anderson,Dancing with the Stars,normalized_score
2012-09-24,4,28,14.285714285714285
2012-09-25,22,87,25.287356321839084
2012-09-26,22,100,22.0
2012-09-27,7,21,33.33333333333333
2012-09-28,5,12,41.66666666666667
2012-09-29,4,10,40.0
2012-09-30,4,7,57.14285714285714
2012-10-01,3,11,27.27272727272727
2012-10-02,3,48,6.25
2012-10-03,3,83,3.614457831325301
2012-10-04,2,17,11.76470588235294
2012-10-05,2,11,18.181818181818183
2012-10-06,3,8,37.5
2012-10-07,3,7,42.857142857142854
2012-10-08,2,8,25.0
2012-10-09,2,51,3.9215686274509802
2012-10-10,2,98,2.0408163265306123
2012-10-11,2,21,9.523809523809524
2012-10-12,2,9,22.22222222222222
2012-10-13,2,9,22.22222222222222
2012-10-14,3,7,42.857142857142854
2012-10-15,2,10,20.0
2012-10-16,2,66,3.0303030303030303
2012-10-17,2,78,2.564102564102564
2012-10-18,2,19,10.526315789473683
2012-10-19,2,12,16.666666666666664
2012-10-20,2,9,22.22222222222222
2012-10-21,2,8,25.0
2012-10-22,2,14,14.285714285714285
2012-10-23,2,37,5.405405405405405
2012-10-24,2,68,2.941176470588235
2012-10-25,2,26,7.6923076923076925
2012-10-26,2,14,14.285714285714285
2012-10-27,2,10,20.0
2012-10-28,2,8,25.0
2012-10-29,2,12,16.666666666666664
2012-10-30,2,55,3.6363636363636362
2012-10-31,2,82,2.4390243902439024
2012-11-01,2,22,9.090909090909092
2012-11-02,2,11,18.181818181818183
2012-11-03,3,10,30.0
2012-11-04,2,8,25.0
2012-11-05,2,9,22.22222222222222
2012-11-06,2,37,5.405405405405405
2012-11-07,1,16,6.25
2012-11-08,2,16,12.5
2012-11-09,2,15,13.333333333333334
2012-11-10,2,9,22.22222222222222
2012-11-11,2,7,28.57142857142857
2012-11-12,2,9,22.22222222222222
2012-11-13,2,48,4.166666666666666
2012-11-14,2,89,2.247191011235955
2012-11-15,2,19,10.526315789473683
2012-11-16,2,10,20.0
2012-11-17,2,8,25.0
2012-11-18,2,7,28.57142857142857
2012-11-19,2,8,25.0
2012-11-20,2,61,3.278688524590164
2012-11-21,2,99,2.0202020202020203
2012-11-22,2,24,8.333333333333332
2012-11-23,2,12,16.666666666666664
2012-11-24,3,11,27.27272727272727
2012-11-25,3,9,33.33333333333333
2012-11-26,2,14,14.285714285714285
2012-11-27,2,81,2.4691358024691357
