date,Alexandra Raisman,Dancing with the Stars,normalized_score
2013-03-18,0,28,0.0
2013-03-19,2,100,2.0
2013-03-20,1,39,2.564102564102564
2013-03-21,0,14,0.0
2013-03-22,0,9,0.0
2013-03-23,0,8,0.0
2013-03-24,0,7,0.0
2013-03-25,0,10,0.0
2013-03-26,1,57,1.7543859649122806
2013-03-27,0,70,0.0
2013-03-28,0,18,0.0
2013-03-29,0,10,0.0
2013-03-30,0,7,0.0
2013-03-31,0,8,0.0
2013-04-01,0,8,0.0
2013-04-02,1,51,1.9607843137254901
2013-04-03,0,55,0.0
2013-04-04,0,15,0.0
2013-04-05,0,9,0.0
2013-04-06,0,7,0.0
2013-04-07,0,7,0.0
2013-04-08,0,7,0.0
2013-04-09,2,41,4.878048780487805
2013-04-10,1,51,1.9607843137254901
2013-04-11,0,14,0.0
2013-04-12,0,8,0.0
2013-04-13,0,7,0.0
2013-04-14,0,6,0.0
2013-04-15,0,7,0.0
2013-04-16,1,33,3.0303030303030303
2013-04-17,0,46,0.0
2013-04-18,0,13,0.0
2013-04-19,0,7,0.0
2013-04-20,0,6,0.0
2013-04-21,0,6,0.0
2013-04-22,0,6,0.0
2013-04-23,1,29,3.4482758620689653
2013-04-24,0,40,0.0
2013-04-25,0,12,0.0
2013-04-26,0,7,0.0
2013-04-27,0,6,0.0
2013-04-28,0,5,0.0
2013-04-29,0,6,0.0
2013-04-30,1,28,3.571428571428571
2013-05-01,0,38,0.0
2013-05-02,0,11,0.0
2013-05-03,0,7,0.0
2013-05-04,0,6,0.0
2013-05-05,0,6,0.0
2013-05-06,0,6,0.0
2013-05-07,2,30,6.666666666666667
2013-05-08,0,46,0.0
2013-05-09,0,13,0.0
2013-05-10,0,8,0.0
2013-05-11,0,6,0.0
2013-05-12,0,6,0.0
2013-05-13,0,7,0.0
2013-05-14,1,34,2.941176470588235
2013-05-15,0,54,0.0
2013-05-16,0,15,0.0
2013-05-17,0,9,0.0
2013-05-18,0,7,0.0
2013-05-19,0,7,0.0
2013-05-20,0,11,0.0
2013-05-21,2,80,2.5
