date,Andy Dick,Dancing with the Stars,normalized_score
2013-03-18,1,28,3.571428571428571
2013-03-19,14,100,14.000000000000002
2013-03-20,8,39,20.51282051282051
2013-03-21,2,14,14.285714285714285
2013-03-22,1,9,11.11111111111111
2013-03-23,1,8,12.5
2013-03-24,1,7,14.285714285714285
2013-03-25,1,10,10.0
2013-03-26,7,57,12.280701754385964
2013-03-27,4,70,5.714285714285714
2013-03-28,1,18,5.555555555555555
2013-03-29,1,10,10.0
2013-03-30,1,7,14.285714285714285
2013-03-31,1,8,12.5
2013-04-01,1,8,12.5
2013-04-02,6,51,11.76470588235294
2013-04-03,3,55,5.454545454545454
2013-04-04,1,15,6.666666666666667
2013-04-05,1,9,11.11111111111111
2013-04-06,1,7,14.285714285714285
2013-04-07,1,7,14.285714285714285
2013-04-08,0,7,0.0
2013-04-09,15,41,36.58536585365854
2013-04-10,6,51,11.76470588235294
2013-04-11,1,14,7.142857142857142
2013-04-12,1,8,12.5
2013-04-13,1,7,14.285714285714285
2013-04-14,1,6,16.666666666666664
2013-04-15,1,7,14.285714285714285
2013-04-16,3,33,9.090909090909092
2013-04-17,2,46,4.3478260869565215
2013-04-18,1,13,7.6923076923076925
2013-04-19,0,7,0.0
2013-04-20,1,6,16.666666666666664
2013-04-21,1,6,16.666666666666664
2013-04-22,1,6,16.666666666666664
2013-04-23,3,29,10.344827586206897
2013-04-24,3,40,7.5
2013-04-25,1,12,8.333333333333332
2013-04-26,1,7,14.285714285714285
2013-04-27,1,6,16.666666666666664
2013-04-28,1,5,20.0
2013-04-29,0,6,0.0
2013-04-30,3,28,10.714285714285714
2013-05-01,7,38,18.421052631578945
2013-05-02,2,11,18.181818181818183
2013-05-03,1,7,14.285714285714285
2013-05-04,1,6,16.666666666666664
2013-05-05,1,6,16.666666666666664
2013-05-06,1,6,16.666666666666664
2013-05-07,1,30,3.3333333333333335
2013-05-08,1,46,2.1739130434782608
2013-05-09,1,13,7.6923076923076925
2013-05-10,1,8,12.5
2013-05-11,1,6,16.666666666666664
2013-05-12,1,6,16.666666666666664
2013-05-13,1,7,14.285714285714285
2013-05-14,0,34,0.0
2013-05-15,0,54,0.0
2013-05-16,0,15,0.0
2013-05-17,0,9,0.0
2013-05-18,0,7,0.0
2013-05-19,0,7,0.0
2013-05-20,0,11,0.0
2013-05-21,1,80,1.25
