date,Ingo Rademacher,Dancing with the Stars,normalized_score
2013-03-18,1,28,3.571428571428571
2013-03-19,6,100,6.0
2013-03-20,2,39,5.128205128205128
2013-03-21,0,14,0.0
2013-03-22,0,9,0.0
2013-03-23,0,8,0.0
2013-03-24,0,7,0.0
2013-03-25,0,10,0.0
2013-03-26,3,57,5.263157894736842
2013-03-27,1,70,1.4285714285714286
2013-03-28,0,18,0.0
2013-03-29,0,10,0.0
2013-03-30,0,7,0.0
2013-03-31,0,8,0.0
2013-04-01,0,8,0.0
2013-04-02,3,51,5.88235294117647
2013-04-03,1,55,1.8181818181818181
2013-04-04,0,15,0.0
2013-04-05,0,9,0.0
2013-04-06,0,7,0.0
2013-04-07,0,7,0.0
2013-04-08,0,7,0.0
2013-04-09,3,41,7.317073170731707
2013-04-10,1,51,1.9607843137254901
2013-04-11,0,14,0.0
2013-04-12,0,8,0.0
2013-04-13,0,7,0.0
2013-04-14,0,6,0.0
2013-04-15,0,7,0.0
2013-04-16,1,33,3.0303030303030303
2013-04-17,1,46,2.1739130434782608
2013-04-18,0,13,0.0
2013-04-19,0,7,0.0
2013-04-20,0,6,0.0
2013-04-21,0,6,0.0
2013-04-22,0,6,0.0
2013-04-23,2,29,6.896551724137931
2013-04-24,1,40,2.5
2013-04-25,0,12,0.0
2013-04-26,0,7,0.0
2013-04-27,0,6,0.0
2013-04-28,0,5,0.0
2013-04-29,0,6,0.0
2013-04-30,1,28,3.571428571428571
2013-05-01,1,38,2.631578947368421
2013-05-02,0,11,0.0
2013-05-03,0,7,0.0
2013-05-04,0,6,0.0
2013-05-05,0,6,0.0
2013-05-06,0,6,0.0
2013-05-07,2,30,6.666666666666667
2013-05-08,1,46,2.1739130434782608
2013-05-09,0,13,0.0
2013-05-10,0,8,0.0
2013-05-11,0,6,0.0
2013-05-12,0,6,0.0
2013-05-13,0,7,0.0
2013-05-14,2,34,5.88235294117647
2013-05-15,2,54,3.7037037037037033
2013-05-16,1,15,6.666666666666667
2013-05-17,0,9,0.0
2013-05-18,0,7,0.0
2013-05-19,0,7,0.0
2013-05-20,0,11,0.0
2013-05-21,0,80,0.0
