date,Jacoby Jones,Dancing with the Stars,normalized_score
2013-03-18,1,28,3.571428571428571
2013-03-19,12,100,12.0
2013-03-20,3,39,7.6923076923076925
2013-03-21,1,14,7.142857142857142
2013-03-22,1,9,11.11111111111111
2013-03-23,1,8,12.5
2013-03-24,0,7,0.0
2013-03-25,1,10,10.0
2013-03-26,7,57,12.280701754385964
2013-03-27,3,70,4.285714285714286
2013-03-28,1,18,5.555555555555555
2013-03-29,0,10,0.0
2013-03-30,1,7,14.285714285714285
2013-03-31,0,8,0.0
2013-04-01,0,8,0.0
2013-04-02,10,51,19.607843137254903
2013-04-03,3,55,5.454545454545454
2013-04-04,1,15,6.666666666666667
2013-04-05,1,9,11.11111111111111
2013-04-06,1,7,14.285714285714285
2013-04-07,1,7,14.285714285714285
2013-04-08,0,7,0.0
2013-04-09,8,41,19.51219512195122
2013-04-10,2,51,3.9215686274509802
2013-04-11,1,14,7.142857142857142
2013-04-12,1,8,12.5
2013-04-13,0,7,0.0
2013-04-14,0,6,0.0
2013-04-15,0,7,0.0
2013-04-16,5,33,15.151515151515152
2013-04-17,4,46,8.695652173913043
2013-04-18,1,13,7.6923076923076925
2013-04-19,0,7,0.0
2013-04-20,1,6,16.666666666666664
2013-04-21,0,6,0.0
2013-04-22,1,6,16.666666666666664
2013-04-23,4,29,13.793103448275861
2013-04-24,2,40,5.0
2013-04-25,1,12,8.333333333333332
2013-04-26,1,7,14.285714285714285
2013-04-27,1,6,16.666666666666664
2013-04-28,0,5,0.0
2013-04-29,1,6,16.666666666666664
2013-04-30,4,28,14.285714285714285
2013-05-01,2,38,5.263157894736842
2013-05-02,1,11,9.090909090909092
2013-05-03,1,7,14.285714285714285
2013-05-04,1,6,16.666666666666664
2013-05-05,1,6,16.666666666666664
2013-05-06,1,6,16.666666666666664
2013-05-07,5,30,16.666666666666664
2013-05-08,2,46,4.3478260869565215
2013-05-09,1,13,7.6923076923076925
2013-05-10,0,8,0.0
2013-05-11,1,6,16.666666666666664
2013-05-12,1,6,16.666666666666664
2013-05-13,0,7,0.0
2013-05-14,6,34,17.647058823529413
2013-05-15,2,54,3.7037037037037033
2013-05-16,1,15,6.666666666666667
2013-05-17,1,9,11.11111111111111
2013-05-18,1,7,14.285714285714285
2013-05-19,1,7,14.285714285714285
2013-05-20,1,11,9.090909090909092
2013-05-21,7,80,8.75
