date,Sean Lowe,Dancing with the Stars,normalized_score
2013-03-18,7,28,25.0
2013-03-19,11,100,11.0
2013-03-20,6,39,15.384615384615385
2013-03-21,5,14,35.714285714285715
2013-03-22,4,9,44.44444444444444
2013-03-23,4,8,50.0
2013-03-24,4,7,57.14285714285714
2013-03-25,4,10,40.0
2013-03-26,5,57,8.771929824561402
2013-03-27,4,70,5.714285714285714
2013-03-28,3,18,16.666666666666664
2013-03-29,4,10,40.0
2013-03-30,4,7,57.14285714285714
2013-03-31,4,8,50.0
2013-04-01,4,8,50.0
2013-04-02,7,51,13.725490196078432
2013-04-03,6,55,10.909090909090908
2013-04-04,4,15,26.666666666666668
2013-04-05,3,9,33.33333333333333
2013-04-06,3,7,42.857142857142854
2013-04-07,3,7,42.857142857142854
2013-04-08,3,7,42.857142857142854
2013-04-09,5,41,12.195121951219512
2013-04-10,4,51,7.8431372549019605
2013-04-11,3,14,21.428571428571427
2013-04-12,3,8,37.5
2013-04-13,3,7,42.857142857142854
2013-04-14,3,6,50.0
2013-04-15,3,7,42.857142857142854
2013-04-16,4,33,12.121212121212121
2013-04-17,4,46,8.695652173913043
2013-04-18,3,13,23.076923076923077
2013-04-19,2,7,28.57142857142857
2013-04-20,2,6,33.33333333333333
2013-04-21,3,6,50.0
2013-04-22,2,6,33.33333333333333
2013-04-23,4,29,13.793103448275861
2013-04-24,4,40,10.0
2013-04-25,3,12,25.0
2013-04-26,3,7,42.857142857142854
2013-04-27,3,6,50.0
2013-04-28,2,5,40.0
2013-04-29,3,6,50.0
2013-04-30,4,28,14.285714285714285
2013-05-01,3,38,7.894736842105263
2013-05-02,2,11,18.181818181818183
2013-05-03,2,7,28.57142857142857
2013-05-04,2,6,33.33333333333333
2013-05-05,2,6,33.33333333333333
2013-05-06,2,6,33.33333333333333
2013-05-07,4,30,13.333333333333334
2013-05-08,6,46,13.043478260869565
2013-05-09,3,13,23.076923076923077
2013-05-10,3,8,37.5
2013-05-11,2,6,33.33333333333333
2013-05-12,2,6,33.33333333333333
2013-05-13,2,7,28.57142857142857
2013-05-14,2,34,5.88235294117647
2013-05-15,2,54,3.7037037037037033
2013-05-16,2,15,13.333333333333334
2013-05-17,1,9,11.11111111111111
2013-05-18,2,7,28.57142857142857
2013-05-19,2,7,28.57142857142857
2013-05-20,2,11,18.181818181818183
2013-05-21,2,80,2.5
