date,Wynonna Judd,Dancing with the Stars,normalized_score
2013-03-18,1,28,3.571428571428571
2013-03-19,15,100,15.0
2013-03-20,4,39,10.256410256410255
2013-03-21,1,14,7.142857142857142
2013-03-22,1,9,11.11111111111111
2013-03-23,1,8,12.5
2013-03-24,1,7,14.285714285714285
2013-03-25,1,10,10.0
2013-03-26,6,57,10.526315789473683
2013-03-27,2,70,2.857142857142857
2013-03-28,1,18,5.555555555555555
2013-03-29,0,10,0.0
2013-03-30,0,7,0.0
2013-03-31,1,8,12.5
2013-04-01,0,8,0.0
2013-04-02,4,51,7.8431372549019605
2013-04-03,5,55,9.090909090909092
2013-04-04,1,15,6.666666666666667
2013-04-05,1,9,11.11111111111111
2013-04-06,0,7,0.0
2013-04-07,0,7,0.0
2013-04-08,0,7,0.0
2013-04-09,1,41,2.4390243902439024
2013-04-10,0,51,0.0
2013-04-11,0,14,0.0
2013-04-12,0,8,0.0
2013-04-13,0,7,0.0
2013-04-14,0,6,0.0
2013-04-15,0,7,0.0
2013-04-16,0,33,0.0
2013-04-17,0,46,0.0
2013-04-18,0,13,0.0
2013-04-19,0,7,0.0
2013-04-20,0,6,0.0
2013-04-21,0,6,0.0
2013-04-22,0,6,0.0
2013-04-23,0,29,0.0
2013-04-24,0,40,0.0
2013-04-25,0,12,0.0
2013-04-26,0,7,0.0
2013-04-27,0,6,0.0
2013-04-28,0,5,0.0
2013-04-29,0,6,0.0
2013-04-30,0,28,0.0
2013-05-01,0,38,0.0
2013-05-02,0,11,0.0
2013-05-03,0,7,0.0
2013-05-04,0,6,0.0
2013-05-05,0,6,0.0
2013-05-06,0,6,0.0
2013-05-07,0,30,0.0
2013-05-08,0,46,0.0
2013-05-09,0,13,0.0
2013-05-10,0,8,0.0
2013-05-11,0,6,0.0
2013-05-12,0,6,0.0
2013-05-13,0,7,0.0
2013-05-14,0,34,0.0
2013-05-15,0,54,0.0
2013-05-16,0,15,0.0
2013-05-17,0,9,0.0
2013-05-18,0,7,0.0
2013-05-19,0,7,0.0
2013-05-20,0,11,0.0
2013-05-21,0,80,0.0
