date,Zendaya,Dancing with the Stars,normalized_score
2013-03-18,5,28,17.857142857142858
2013-03-19,26,100,26.0
2013-03-20,11,39,28.205128205128204
2013-03-21,4,14,28.57142857142857
2013-03-22,4,9,44.44444444444444
2013-03-23,5,8,62.5
2013-03-24,5,7,71.42857142857143
2013-03-25,5,10,50.0
2013-03-26,20,57,35.08771929824561
2013-03-27,13,70,18.571428571428573
2013-03-28,7,18,38.88888888888889
2013-03-29,5,10,50.0
2013-03-30,5,7,71.42857142857143
2013-03-31,6,8,75.0
2013-04-01,4,8,50.0
2013-04-02,17,51,33.33333333333333
2013-04-03,8,55,14.545454545454545
2013-04-04,4,15,26.666666666666668
2013-04-05,4,9,44.44444444444444
2013-04-06,6,7,85.71428571428571
2013-04-07,6,7,85.71428571428571
2013-04-08,4,7,57.14285714285714
2013-04-09,14,41,34.146341463414636
2013-04-10,6,51,11.76470588235294
2013-04-11,3,14,21.428571428571427
2013-04-12,3,8,37.5
2013-04-13,5,7,71.42857142857143
2013-04-14,5,6,83.33333333333334
2013-04-15,3,7,42.857142857142854
2013-04-16,15,33,45.45454545454545
2013-04-17,7,46,15.217391304347828
2013-04-18,4,13,30.76923076923077
2013-04-19,4,7,57.14285714285714
2013-04-20,5,6,83.33333333333334
2013-04-21,5,6,83.33333333333334
2013-04-22,3,6,50.0
2013-04-23,10,29,34.48275862068966
2013-04-24,6,40,15.0
2013-04-25,3,12,25.0
2013-04-26,3,7,42.857142857142854
2013-04-27,4,6,66.66666666666666
2013-04-28,5,5,100.0
2013-04-29,3,6,50.0
2013-04-30,10,28,35.714285714285715
2013-05-01,4,38,10.526315789473683
2013-05-02,3,11,27.27272727272727
2013-05-03,3,7,42.857142857142854
2013-05-04,5,6,83.33333333333334
2013-05-05,5,6,83.33333333333334
2013-05-06,4,6,66.66666666666666
2013-05-07,13,30,43.333333333333336
2013-05-08,7,46,15.217391304347828
2013-05-09,3,13,23.076923076923077
2013-05-10,4,8,50.0
2013-05-11,5,6,83.33333333333334
2013-05-12,5,6,83.33333333333334
2013-05-13,4,7,57.14285714285714
2013-05-14,12,34,35.294117647058826
2013-05-15,7,54,12.962962962962962
2013-05-16,4,15,26.666666666666668
2013-05-17,3,9,33.33333333333333
2013-05-18,5,7,71.42857142857143
2013-05-19,5,7,71.42857142857143
2013-05-20,4,11,36.36363636363637
2013-05-21,22,80,27.500000000000004
