date,Brant Daugherty,Dancing with the Stars,normalized_score
2013-09-16,2,26,7.6923076923076925
2013-09-17,19,100,19.0
2013-09-18,3,25,12.0
2013-09-19,1,14,7.142857142857142
2013-09-20,1,10,10.0
2013-09-21,1,8,12.5
2013-09-22,1,7,14.285714285714285
2013-09-23,1,11,9.090909090909092
2013-09-24,8,76,10.526315789473683
2013-09-25,2,18,11.11111111111111
2013-09-26,1,8,12.5
2013-09-27,1,6,16.666666666666664
2013-09-28,1,6,16.666666666666664
2013-09-29,1,6,16.666666666666664
2013-09-30,0,7,0.0
2013-10-01,6,43,13.953488372093023
2013-10-02,2,14,14.285714285714285
2013-10-03,1,7,14.285714285714285
2013-10-04,0,5,0.0
2013-10-05,1,5,20.0
2013-10-06,0,5,0.0
2013-10-07,0,6,0.0
2013-10-08,5,49,10.204081632653061
2013-10-09,1,9,11.11111111111111
2013-10-10,1,5,20.0
2013-10-11,1,5,20.0
2013-10-12,0,5,0.0
2013-10-13,0,5,0.0
2013-10-14,0,6,0.0
2013-10-15,4,53,7.547169811320755
2013-10-16,1,12,8.333333333333332
2013-10-17,1,6,16.666666666666664
2013-10-18,0,5,0.0
2013-10-19,0,5,0.0
2013-10-20,0,4,0.0
2013-10-21,0,6,0.0
2013-10-22,3,41,7.317073170731707
2013-10-23,1,10,10.0
2013-10-24,0,6,0.0
2013-10-25,0,5,0.0
2013-10-26,0,4,0.0
2013-10-27,0,4,0.0
2013-10-28,0,5,0.0
2013-10-29,2,47,4.25531914893617
2013-10-30,0,13,0.0
2013-10-31,0,7,0.0
2013-11-01,0,5,0.0
2013-11-02,0,5,0.0
2013-11-03,0,5,0.0
2013-11-04,0,6,0.0
2013-11-05,6,41,14.634146341463413
2013-11-06,1,11,9.090909090909092
2013-11-07,1,7,14.285714285714285
2013-11-08,0,6,0.0
2013-11-09,0,5,0.0
2013-11-10,0,5,0.0
2013-11-11,0,5,0.0
2013-11-12,0,48,0.0
2013-11-13,0,12,0.0
2013-11-14,0,6,0.0
2013-11-15,0,5,0.0
2013-11-16,0,5,0.0
2013-11-17,0,4,0.0
2013-11-18,0,5,0.0
2013-11-19,0,47,0.0
2013-11-20,0,11,0.0
2013-11-21,0,6,0.0
2013-11-22,0,5,0.0
2013-11-23,0,5,0.0
2013-11-24,0,5,0.0
2013-11-25,0,8,0.0
2013-11-26,0,54,0.0
