date,Corbin Bleu,Dancing with the Stars,normalized_score
2013-09-16,1,26,3.8461538461538463
2013-09-17,9,100,9.0
2013-09-18,2,25,8.0
2013-09-19,1,14,7.142857142857142
2013-09-20,1,10,10.0
2013-09-21,1,8,12.5
2013-09-22,1,7,14.285714285714285
2013-09-23,1,11,9.090909090909092
2013-09-24,7,76,9.210526315789473
2013-09-25,2,18,11.11111111111111
2013-09-26,1,8,12.5
2013-09-27,1,6,16.666666666666664
2013-09-28,1,6,16.666666666666664
2013-09-29,1,6,16.666666666666664
2013-09-30,1,7,14.285714285714285
2013-10-01,3,43,6.976744186046512
2013-10-02,1,14,7.142857142857142
2013-10-03,1,7,14.285714285714285
2013-10-04,1,5,20.0
2013-10-05,1,5,20.0
2013-10-06,1,5,20.0
2013-10-07,0,6,0.0
2013-10-08,5,49,10.204081632653061
2013-10-09,1,9,11.11111111111111
2013-10-10,1,5,20.0
2013-10-11,1,5,20.0
2013-10-12,1,5,20.0
2013-10-13,1,5,20.0
2013-10-14,1,6,16.666666666666664
2013-10-15,7,53,13.20754716981132
2013-10-16,1,12,8.333333333333332
2013-10-17,1,6,16.666666666666664
2013-10-18,2,5,40.0
2013-10-19,1,5,20.0
2013-10-20,1,4,25.0
2013-10-21,1,6,16.666666666666664
2013-10-22,4,41,9.75609756097561
2013-10-23,1,10,10.0
2013-10-24,1,6,16.666666666666664
2013-10-25,0,5,0.0
2013-10-26,1,4,25.0
2013-10-27,1,4,25.0
2013-10-28,0,5,0.0
2013-10-29,5,47,10.638297872340425
2013-10-30,1,13,7.6923076923076925
2013-10-31,1,7,14.285714285714285
2013-11-01,1,5,20.0
2013-11-02,1,5,20.0
2013-11-03,1,5,20.0
2013-11-04,1,6,16.666666666666664
2013-11-05,4,41,9.75609756097561
2013-11-06,1,11,9.090909090909092
2013-11-07,1,7,14.285714285714285
2013-11-08,1,6,16.666666666666664
2013-11-09,1,5,20.0
2013-11-10,1,5,20.0
2013-11-11,1,5,20.0
2013-11-12,7,48,14.583333333333334
2013-11-13,1,12,8.333333333333332
2013-11-14,1,6,16.666666666666664
2013-11-15,1,5,20.0
2013-11-16,1,5,20.0
2013-11-17,1,4,25.0
2013-11-18,1,5,20.0
2013-11-19,5,47,10.638297872340425
2013-11-20,1,11,9.090909090909092
2013-11-21,1,6,16.666666666666664
2013-11-22,0,5,0.0
2013-11-23,1,5,20.0
2013-11-24,1,5,20.0
2013-11-25,1,8,12.5
2013-11-26,7,54,12.962962962962962
