date,Elizabeth Berkley Lauren,Dancing with the Stars,normalized_score
2013-09-16,0,26,0.0
2013-09-17,1,100,1.0
2013-09-18,0,25,0.0
2013-09-19,0,14,0.0
2013-09-20,0,10,0.0
2013-09-21,0,8,0.0
2013-09-22,0,7,0.0
2013-09-23,0,11,0.0
2013-09-24,1,76,1.3157894736842104
2013-09-25,0,18,0.0
2013-09-26,0,8,0.0
2013-09-27,0,6,0.0
2013-09-28,0,6,0.0
2013-09-29,0,6,0.0
2013-09-30,0,7,0.0
2013-10-01,0,43,0.0
2013-10-02,0,14,0.0
2013-10-03,0,7,0.0
2013-10-04,0,5,0.0
2013-10-05,0,5,0.0
2013-10-06,0,5,0.0
2013-10-07,0,6,0.0
2013-10-08,0,49,0.0
2013-10-09,0,9,0.0
2013-10-10,0,5,0.0
2013-10-11,0,5,0.0
2013-10-12,0,5,0.0
2013-10-13,0,5,0.0
2013-10-14,0,6,0.0
2013-10-15,1,53,1.8867924528301887
2013-10-16,0,12,0.0
2013-10-17,0,6,0.0
2013-10-18,0,5,0.0
2013-10-19,0,5,0.0
2013-10-20,0,4,0.0
2013-10-21,0,6,0.0
2013-10-22,0,41,0.0
2013-10-23,0,10,0.0
2013-10-24,0,6,0.0
2013-10-25,0,5,0.0
2013-10-26,0,4,0.0
2013-10-27,0,4,0.0
2013-10-28,0,5,0.0
2013-10-29,0,47,0.0
2013-10-30,0,13,0.0
2013-10-31,0,7,0.0
2013-11-01,0,5,0.0
2013-11-02,0,5,0.0
2013-11-03,0,5,0.0
2013-11-04,0,6,0.0
2013-11-05,0,41,0.0
2013-11-06,0,11,0.0
2013-11-07,0,7,0.0
2013-11-08,0,6,0.0
2013-11-09,0,5,0.0
2013-11-10,0,5,0.0
2013-11-11,0,5,0.0
2013-11-12,1,48,2.083333333333333
2013-11-13,0,12,0.0
2013-11-14,0,6,0.0
2013-11-15,0,5,0.0
2013-11-16,0,5,0.0
2013-11-17,0,4,0.0
2013-11-18,0,5,0.0
2013-11-19,0,47,0.0
2013-11-20,0,11,0.0
2013-11-21,0,6,0.0
2013-11-22,0,5,0.0
2013-11-23,0,5,0.0
2013-11-24,0,5,0.0
2013-11-25,0,8,0.0
2013-11-26,0,54,0.0
