date,Jack Osbourne,Dancing with the Stars,normalized_score
2013-09-16,0,26,0.0
2013-09-17,6,100,6.0
2013-09-18,1,25,4.0
2013-09-19,1,14,7.142857142857142
2013-09-20,0,10,0.0
2013-09-21,0,8,0.0
2013-09-22,0,7,0.0
2013-09-23,0,11,0.0
2013-09-24,3,76,3.9473684210526314
2013-09-25,1,18,5.555555555555555
2013-09-26,0,8,0.0
2013-09-27,0,6,0.0
2013-09-28,0,6,0.0
2013-09-29,0,6,0.0
2013-09-30,0,7,0.0
2013-10-01,2,43,4.651162790697675
2013-10-02,0,14,0.0
2013-10-03,0,7,0.0
2013-10-04,1,5,20.0
2013-10-05,1,5,20.0
2013-10-06,0,5,0.0
2013-10-07,0,6,0.0
2013-10-08,2,49,4.081632653061225
2013-10-09,0,9,0.0
2013-10-10,0,5,0.0
2013-10-11,0,5,0.0
2013-10-12,0,5,0.0
2013-10-13,0,5,0.0
2013-10-14,0,6,0.0
2013-10-15,4,53,7.547169811320755
2013-10-16,1,12,8.333333333333332
2013-10-17,0,6,0.0
2013-10-18,0,5,0.0
2013-10-19,0,5,0.0
2013-10-20,0,4,0.0
2013-10-21,0,6,0.0
2013-10-22,1,41,2.4390243902439024
2013-10-23,0,10,0.0
2013-10-24,1,6,16.666666666666664
2013-10-25,0,5,0.0
2013-10-26,0,4,0.0
2013-10-27,0,4,0.0
2013-10-28,3,5,60.0
2013-10-29,3,47,6.382978723404255
2013-10-30,1,13,7.6923076923076925
2013-10-31,1,7,14.285714285714285
2013-11-01,0,5,0.0
2013-11-02,0,5,0.0
2013-11-03,0,5,0.0
2013-11-04,0,6,0.0
2013-11-05,2,41,4.878048780487805
2013-11-06,0,11,0.0
2013-11-07,0,7,0.0
2013-11-08,0,6,0.0
2013-11-09,0,5,0.0
2013-11-10,0,5,0.0
2013-11-11,0,5,0.0
2013-11-12,3,48,6.25
2013-11-13,0,12,0.0
2013-11-14,0,6,0.0
2013-11-15,0,5,0.0
2013-11-16,0,5,0.0
2013-11-17,0,4,0.0
2013-11-18,0,5,0.0
2013-11-19,5,47,10.638297872340425
2013-11-20,1,11,9.090909090909092
2013-11-21,0,6,0.0
2013-11-22,1,5,20.0
2013-11-23,0,5,0.0
2013-11-24,0,5,0.0
2013-11-25,0,8,0.0
2013-11-26,5,54,9.25925925925926
