date,Amy Purdy,Dancing with the Stars,normalized_score
2014-03-17,1,23,4.3478260869565215
2014-03-18,16,96,16.666666666666664
2014-03-19,4,23,17.391304347826086
2014-03-20,2,12,16.666666666666664
2014-03-21,1,8,12.5
2014-03-22,1,8,12.5
2014-03-23,1,7,14.285714285714285
2014-03-24,2,10,20.0
2014-03-25,11,91,12.087912087912088
2014-03-26,2,20,10.0
2014-03-27,1,11,9.090909090909092
2014-03-28,1,7,14.285714285714285
2014-03-29,1,7,14.285714285714285
2014-03-30,1,6,16.666666666666664
2014-03-31,0,7,0.0
2014-04-01,11,62,17.741935483870968
2014-04-02,3,17,17.647058823529413
2014-04-03,2,9,22.22222222222222
2014-04-04,1,7,14.285714285714285
2014-04-05,1,6,16.666666666666664
2014-04-06,1,5,20.0
2014-04-07,0,8,0.0
2014-04-08,14,53,26.41509433962264
2014-04-09,2,14,14.285714285714285
2014-04-10,1,8,12.5
2014-04-11,1,6,16.666666666666664
2014-04-12,1,6,16.666666666666664
2014-04-13,1,6,16.666666666666664
2014-04-14,1,8,12.5
2014-04-15,12,77,15.584415584415584
2014-04-16,2,16,12.5
2014-04-17,1,9,11.11111111111111
2014-04-18,1,7,14.285714285714285
2014-04-19,1,6,16.666666666666664
2014-04-20,1,6,16.666666666666664
2014-04-21,1,7,14.285714285714285
2014-04-22,9,62,14.516129032258066
2014-04-23,2,14,14.285714285714285
2014-04-24,1,7,14.285714285714285
2014-04-25,1,7,14.285714285714285
2014-04-26,1,7,14.285714285714285
2014-04-27,1,6,16.666666666666664
2014-04-28,3,8,37.5
2014-04-29,19,66,28.78787878787879
2014-04-30,5,15,33.33333333333333
2014-05-01,3,8,37.5
2014-05-02,2,6,33.33333333333333
2014-05-03,2,6,33.33333333333333
2014-05-04,1,5,20.0
2014-05-05,1,7,14.285714285714285
2014-05-06,9,64,14.0625
2014-05-07,2,15,13.333333333333334
2014-05-08,1,8,12.5
2014-05-09,1,5,20.0
2014-05-10,1,6,16.666666666666664
2014-05-11,1,6,16.666666666666664
2014-05-12,1,8,12.5
2014-05-13,11,75,14.666666666666666
2014-05-14,2,15,13.333333333333334
2014-05-15,1,8,12.5
2014-05-16,1,7,14.285714285714285
2014-05-17,1,7,14.285714285714285
2014-05-18,1,7,14.285714285714285
2014-05-19,1,18,5.555555555555555
2014-05-20,14,100,14.000000000000002
