date,Billy Dee Williams,Dancing with the Stars,normalized_score
2014-03-17,1,23,4.3478260869565215
2014-03-18,13,96,13.541666666666666
2014-03-19,3,23,13.043478260869565
2014-03-20,1,12,8.333333333333332
2014-03-21,1,8,12.5
2014-03-22,1,8,12.5
2014-03-23,1,7,14.285714285714285
2014-03-24,1,10,10.0
2014-03-25,16,91,17.582417582417584
2014-03-26,3,20,15.0
2014-03-27,1,11,9.090909090909092
2014-03-28,1,7,14.285714285714285
2014-03-29,1,7,14.285714285714285
2014-03-30,1,6,16.666666666666664
2014-03-31,1,7,14.285714285714285
2014-04-01,8,62,12.903225806451612
2014-04-02,3,17,17.647058823529413
2014-04-03,1,9,11.11111111111111
2014-04-04,1,7,14.285714285714285
2014-04-05,1,6,16.666666666666664
2014-04-06,1,5,20.0
2014-04-07,1,8,12.5
2014-04-08,1,53,1.8867924528301887
2014-04-09,0,14,0.0
2014-04-10,0,8,0.0
2014-04-11,0,6,0.0
2014-04-12,0,6,0.0
2014-04-13,0,6,0.0
2014-04-14,0,8,0.0
2014-04-15,0,77,0.0
2014-04-16,1,16,6.25
2014-04-17,0,9,0.0
2014-04-18,0,7,0.0
2014-04-19,0,6,0.0
2014-04-20,0,6,0.0
2014-04-21,0,7,0.0
2014-04-22,0,62,0.0
2014-04-23,0,14,0.0
2014-04-24,0,7,0.0
2014-04-25,0,7,0.0
2014-04-26,0,7,0.0
2014-04-27,0,6,0.0
2014-04-28,0,8,0.0
2014-04-29,1,66,1.5151515151515151
2014-04-30,1,15,6.666666666666667
2014-05-01,1,8,12.5
2014-05-02,0,6,0.0
2014-05-03,0,6,0.0
2014-05-04,0,5,0.0
2014-05-05,0,7,0.0
2014-05-06,0,64,0.0
2014-05-07,1,15,6.666666666666667
2014-05-08,0,8,0.0
2014-05-09,0,5,0.0
2014-05-10,0,6,0.0
2014-05-11,0,6,0.0
2014-05-12,0,8,0.0
2014-05-13,0,75,0.0
2014-05-14,1,15,6.666666666666667
2014-05-15,0,8,0.0
2014-05-16,0,7,0.0
2014-05-17,0,7,0.0
2014-05-18,0,7,0.0
2014-05-19,0,18,0.0
2014-05-20,0,100,0.0
