date,Charlie White,Dancing with the Stars,normalized_score
2014-03-17,2,23,8.695652173913043
2014-03-18,7,96,7.291666666666667
2014-03-19,2,23,8.695652173913043
2014-03-20,1,12,8.333333333333332
2014-03-21,1,8,12.5
2014-03-22,1,8,12.5
2014-03-23,1,7,14.285714285714285
2014-03-24,1,10,10.0
2014-03-25,6,91,6.593406593406594
2014-03-26,1,20,5.0
2014-03-27,1,11,9.090909090909092
2014-03-28,0,7,0.0
2014-03-29,1,7,14.285714285714285
2014-03-30,1,6,16.666666666666664
2014-03-31,1,7,14.285714285714285
2014-04-01,4,62,6.451612903225806
2014-04-02,1,17,5.88235294117647
2014-04-03,1,9,11.11111111111111
2014-04-04,1,7,14.285714285714285
2014-04-05,1,6,16.666666666666664
2014-04-06,1,5,20.0
2014-04-07,1,8,12.5
2014-04-08,3,53,5.660377358490567
2014-04-09,1,14,7.142857142857142
2014-04-10,1,8,12.5
2014-04-11,1,6,16.666666666666664
2014-04-12,1,6,16.666666666666664
2014-04-13,1,6,16.666666666666664
2014-04-14,1,8,12.5
2014-04-15,3,77,3.896103896103896
2014-04-16,1,16,6.25
2014-04-17,1,9,11.11111111111111
2014-04-18,1,7,14.285714285714285
2014-04-19,1,6,16.666666666666664
2014-04-20,1,6,16.666666666666664
2014-04-21,1,7,14.285714285714285
2014-04-22,3,62,4.838709677419355
2014-04-23,1,14,7.142857142857142
2014-04-24,1,7,14.285714285714285
2014-04-25,1,7,14.285714285714285
2014-04-26,1,7,14.285714285714285
2014-04-27,1,6,16.666666666666664
2014-04-28,1,8,12.5
2014-04-29,2,66,3.0303030303030303
2014-04-30,1,15,6.666666666666667
2014-05-01,1,8,12.5
2014-05-02,1,6,16.666666666666664
2014-05-03,1,6,16.666666666666664
2014-05-04,1,5,20.0
2014-05-05,1,7,14.285714285714285
2014-05-06,3,64,4.6875
2014-05-07,1,15,6.666666666666667
2014-05-08,1,8,12.5
2014-05-09,1,5,20.0
2014-05-10,1,6,16.666666666666664
2014-05-11,1,6,16.666666666666664
2014-05-12,1,8,12.5
2014-05-13,6,75,8.0
2014-05-14,2,15,13.333333333333334
2014-05-15,1,8,12.5
2014-05-16,1,7,14.285714285714285
2014-05-17,1,7,14.285714285714285
2014-05-18,1,7,14.285714285714285
2014-05-19,1,18,5.555555555555555
2014-05-20,2,100,2.0
