date,Cody Simpson,Dancing with the Stars,normalized_score
2014-03-17,2,23,8.695652173913043
2014-03-18,22,96,22.916666666666664
2014-03-19,4,23,17.391304347826086
2014-03-20,2,12,16.666666666666664
2014-03-21,2,8,25.0
2014-03-22,2,8,25.0
2014-03-23,2,7,28.57142857142857
2014-03-24,1,10,10.0
2014-03-25,17,91,18.681318681318682
2014-03-26,3,20,15.0
2014-03-27,2,11,18.181818181818183
2014-03-28,2,7,28.57142857142857
2014-03-29,2,7,28.57142857142857
2014-03-30,10,6,166.66666666666669
2014-03-31,3,7,42.857142857142854
2014-04-01,9,62,14.516129032258066
2014-04-02,3,17,17.647058823529413
2014-04-03,2,9,22.22222222222222
2014-04-04,2,7,28.57142857142857
2014-04-05,4,6,66.66666666666666
2014-04-06,3,5,60.0
2014-04-07,2,8,25.0
2014-04-08,16,53,30.18867924528302
2014-04-09,4,14,28.57142857142857
2014-04-10,2,8,25.0
2014-04-11,2,6,33.33333333333333
2014-04-12,3,6,50.0
2014-04-13,2,6,33.33333333333333
2014-04-14,2,8,25.0
2014-04-15,18,77,23.376623376623375
2014-04-16,4,16,25.0
2014-04-17,3,9,33.33333333333333
2014-04-18,3,7,42.857142857142854
2014-04-19,3,6,50.0
2014-04-20,3,6,50.0
2014-04-21,2,7,28.57142857142857
2014-04-22,2,62,3.225806451612903
2014-04-23,2,14,14.285714285714285
2014-04-24,2,7,28.57142857142857
2014-04-25,1,7,14.285714285714285
2014-04-26,2,7,28.57142857142857
2014-04-27,2,6,33.33333333333333
2014-04-28,2,8,25.0
2014-04-29,2,66,3.0303030303030303
2014-04-30,1,15,6.666666666666667
2014-05-01,1,8,12.5
2014-05-02,1,6,16.666666666666664
2014-05-03,2,6,33.33333333333333
2014-05-04,1,5,20.0
2014-05-05,2,7,28.57142857142857
2014-05-06,2,64,3.125
2014-05-07,1,15,6.666666666666667
2014-05-08,1,8,12.5
2014-05-09,1,5,20.0
2014-05-10,2,6,33.33333333333333
2014-05-11,2,6,33.33333333333333
2014-05-12,1,8,12.5
2014-05-13,1,75,1.3333333333333335
2014-05-14,1,15,6.666666666666667
2014-05-15,1,8,12.5
2014-05-16,1,7,14.285714285714285
2014-05-17,1,7,14.285714285714285
2014-05-18,1,7,14.285714285714285
2014-05-19,4,18,22.22222222222222
2014-05-20,4,100,4.0
