date,Danica McKellar,Dancing with the Stars,normalized_score
2014-03-17,3,23,13.043478260869565
2014-03-18,20,96,20.833333333333336
2014-03-19,4,23,17.391304347826086
2014-03-20,2,12,16.666666666666664
2014-03-21,3,8,37.5
2014-03-22,2,8,25.0
2014-03-23,1,7,14.285714285714285
2014-03-24,1,10,10.0
2014-03-25,12,91,13.186813186813188
2014-03-26,2,20,10.0
2014-03-27,1,11,9.090909090909092
2014-03-28,1,7,14.285714285714285
2014-03-29,1,7,14.285714285714285
2014-03-30,2,6,33.33333333333333
2014-03-31,1,7,14.285714285714285
2014-04-01,15,62,24.193548387096776
2014-04-02,2,17,11.76470588235294
2014-04-03,1,9,11.11111111111111
2014-04-04,1,7,14.285714285714285
2014-04-05,1,6,16.666666666666664
2014-04-06,1,5,20.0
2014-04-07,1,8,12.5
2014-04-08,7,53,13.20754716981132
2014-04-09,1,14,7.142857142857142
2014-04-10,1,8,12.5
2014-04-11,5,6,83.33333333333334
2014-04-12,2,6,33.33333333333333
2014-04-13,1,6,16.666666666666664
2014-04-14,1,8,12.5
2014-04-15,5,77,6.493506493506493
2014-04-16,1,16,6.25
2014-04-17,1,9,11.11111111111111
2014-04-18,1,7,14.285714285714285
2014-04-19,1,6,16.666666666666664
2014-04-20,1,6,16.666666666666664
2014-04-21,1,7,14.285714285714285
2014-04-22,15,62,24.193548387096776
2014-04-23,2,14,14.285714285714285
2014-04-24,1,7,14.285714285714285
2014-04-25,2,7,28.57142857142857
2014-04-26,4,7,57.14285714285714
2014-04-27,3,6,50.0
2014-04-28,2,8,25.0
2014-04-29,6,66,9.090909090909092
2014-04-30,2,15,13.333333333333334
2014-05-01,2,8,25.0
2014-05-02,1,6,16.666666666666664
2014-05-03,1,6,16.666666666666664
2014-05-04,1,5,20.0
2014-05-05,1,7,14.285714285714285
2014-05-06,8,64,12.5
2014-05-07,2,15,13.333333333333334
2014-05-08,1,8,12.5
2014-05-09,1,5,20.0
2014-05-10,1,6,16.666666666666664
2014-05-11,1,6,16.666666666666664
2014-05-12,0,8,0.0
2014-05-13,1,75,1.3333333333333335
2014-05-14,1,15,6.666666666666667
2014-05-15,0,8,0.0
2014-05-16,0,7,0.0
2014-05-17,0,7,0.0
2014-05-18,0,7,0.0
2014-05-19,1,18,5.555555555555555
2014-05-20,1,100,1.0
