date,Meryl Davis,Dancing with the Stars,normalized_score
2014-03-17,2,23,8.695652173913043
2014-03-18,7,96,7.291666666666667
2014-03-19,2,23,8.695652173913043
2014-03-20,1,12,8.333333333333332
2014-03-21,1,8,12.5
2014-03-22,1,8,12.5
2014-03-23,1,7,14.285714285714285
2014-03-24,1,10,10.0
2014-03-25,7,91,7.6923076923076925
2014-03-26,2,20,10.0
2014-03-27,1,11,9.090909090909092
2014-03-28,1,7,14.285714285714285
2014-03-29,1,7,14.285714285714285
2014-03-30,1,6,16.666666666666664
2014-03-31,1,7,14.285714285714285
2014-04-01,7,62,11.29032258064516
2014-04-02,2,17,11.76470588235294
2014-04-03,1,9,11.11111111111111
2014-04-04,1,7,14.285714285714285
2014-04-05,1,6,16.666666666666664
2014-04-06,1,5,20.0
2014-04-07,1,8,12.5
2014-04-08,10,53,18.867924528301888
2014-04-09,3,14,21.428571428571427
2014-04-10,2,8,25.0
2014-04-11,1,6,16.666666666666664
2014-04-12,1,6,16.666666666666664
2014-04-13,1,6,16.666666666666664
2014-04-14,1,8,12.5
2014-04-15,8,77,10.38961038961039
2014-04-16,2,16,12.5
2014-04-17,2,9,22.22222222222222
2014-04-18,1,7,14.285714285714285
2014-04-19,1,6,16.666666666666664
2014-04-20,1,6,16.666666666666664
2014-04-21,1,7,14.285714285714285
2014-04-22,11,62,17.741935483870968
2014-04-23,3,14,21.428571428571427
2014-04-24,2,7,28.57142857142857
2014-04-25,2,7,28.57142857142857
2014-04-26,2,7,28.57142857142857
2014-04-27,2,6,33.33333333333333
2014-04-28,1,8,12.5
2014-04-29,9,66,13.636363636363635
2014-04-30,2,15,13.333333333333334
2014-05-01,2,8,25.0
2014-05-02,2,6,33.33333333333333
2014-05-03,2,6,33.33333333333333
2014-05-04,2,5,40.0
2014-05-05,2,7,28.57142857142857
2014-05-06,10,64,15.625
2014-05-07,3,15,20.0
2014-05-08,2,8,25.0
2014-05-09,2,5,40.0
2014-05-10,2,6,33.33333333333333
2014-05-11,2,6,33.33333333333333
2014-05-12,2,8,25.0
2014-05-13,11,75,14.666666666666666
2014-05-14,3,15,20.0
2014-05-15,2,8,25.0
2014-05-16,2,7,28.57142857142857
2014-05-17,2,7,28.57142857142857
2014-05-18,2,7,28.57142857142857
2014-05-19,2,18,11.11111111111111
2014-05-20,22,100,22.0
