date,NeNe Leakes,Dancing with the Stars,normalized_score
2014-03-17,3,23,13.043478260869565
2014-03-18,11,96,11.458333333333332
2014-03-19,3,23,13.043478260869565
2014-03-20,2,12,16.666666666666664
2014-03-21,2,8,25.0
2014-03-22,2,8,25.0
2014-03-23,1,7,14.285714285714285
2014-03-24,5,10,50.0
2014-03-25,7,91,7.6923076923076925
2014-03-26,2,20,10.0
2014-03-27,3,11,27.27272727272727
2014-03-28,3,7,42.857142857142854
2014-03-29,2,7,28.57142857142857
2014-03-30,3,6,50.0
2014-03-31,3,7,42.857142857142854
2014-04-01,7,62,11.29032258064516
2014-04-02,2,17,11.76470588235294
2014-04-03,2,9,22.22222222222222
2014-04-04,1,7,14.285714285714285
2014-04-05,2,6,33.33333333333333
2014-04-06,2,5,40.0
2014-04-07,5,8,62.5
2014-04-08,7,53,13.20754716981132
2014-04-09,3,14,21.428571428571427
2014-04-10,2,8,25.0
2014-04-11,2,6,33.33333333333333
2014-04-12,2,6,33.33333333333333
2014-04-13,2,6,33.33333333333333
2014-04-14,7,8,87.5
2014-04-15,7,77,9.090909090909092
2014-04-16,3,16,18.75
2014-04-17,3,9,33.33333333333333
2014-04-18,2,7,28.57142857142857
2014-04-19,2,6,33.33333333333333
2014-04-20,2,6,33.33333333333333
2014-04-21,6,7,85.71428571428571
2014-04-22,7,62,11.29032258064516
2014-04-23,3,14,21.428571428571427
2014-04-24,3,7,42.857142857142854
2014-04-25,2,7,28.57142857142857
2014-04-26,2,7,28.57142857142857
2014-04-27,3,6,50.0
2014-04-28,7,8,87.5
2014-04-29,11,66,16.666666666666664
2014-04-30,5,15,33.33333333333333
2014-05-01,3,8,37.5
2014-05-02,3,6,50.0
2014-05-03,2,6,33.33333333333333
2014-05-04,2,5,40.0
2014-05-05,8,7,114.28571428571428
2014-05-06,4,64,6.25
2014-05-07,3,15,20.0
2014-05-08,3,8,37.5
2014-05-09,3,5,60.0
2014-05-10,2,6,33.33333333333333
2014-05-11,3,6,50.0
2014-05-12,4,8,50.0
2014-05-13,3,75,4.0
2014-05-14,3,15,20.0
2014-05-15,3,8,37.5
2014-05-16,3,7,42.857142857142854
2014-05-17,2,7,28.57142857142857
2014-05-18,3,7,42.857142857142854
2014-05-19,2,18,11.11111111111111
2014-05-20,2,100,2.0
