date,Alfonso Ribeiro,Dancing with the Stars,normalized_score
2014-09-15,0,18,0.0
2014-09-16,8,72,11.11111111111111
2014-09-17,4,56,7.142857142857142
2014-09-18,1,13,7.6923076923076925
2014-09-19,1,7,14.285714285714285
2014-09-20,1,7,14.285714285714285
2014-09-21,1,5,20.0
2014-09-22,1,8,12.5
2014-09-23,3,43,6.976744186046512
2014-09-24,1,37,2.7027027027027026
2014-09-25,1,10,10.0
2014-09-26,0,6,0.0
2014-09-27,0,5,0.0
2014-09-28,0,5,0.0
2014-09-29,0,6,0.0
2014-09-30,2,40,5.0
2014-10-01,1,11,9.090909090909092
2014-10-02,0,5,0.0
2014-10-03,0,4,0.0
2014-10-04,0,4,0.0
2014-10-05,0,3,0.0
2014-10-06,0,5,0.0
2014-10-07,12,52,23.076923076923077
2014-10-08,7,18,38.88888888888889
2014-10-09,3,10,30.0
2014-10-10,2,7,28.57142857142857
2014-10-11,1,6,16.666666666666664
2014-10-12,1,5,20.0
2014-10-13,1,6,16.666666666666664
2014-10-14,3,32,9.375
2014-10-15,1,9,11.11111111111111
2014-10-16,1,5,20.0
2014-10-17,1,3,33.33333333333333
2014-10-18,1,4,25.0
2014-10-19,0,4,0.0
2014-10-20,0,5,0.0
2014-10-21,3,37,8.108108108108109
2014-10-22,1,9,11.11111111111111
2014-10-23,1,6,16.666666666666664
2014-10-24,0,4,0.0
2014-10-25,0,4,0.0
2014-10-26,0,4,0.0
2014-10-27,1,5,20.0
2014-10-28,4,28,14.285714285714285
2014-10-29,1,8,12.5
2014-10-30,0,5,0.0
2014-10-31,0,3,0.0
2014-11-01,0,4,0.0
2014-11-02,0,3,0.0
2014-11-03,0,4,0.0
2014-11-04,2,30,6.666666666666667
2014-11-05,0,7,0.0
2014-11-06,0,5,0.0
2014-11-07,0,4,0.0
2014-11-08,0,4,0.0
2014-11-09,0,3,0.0
2014-11-10,0,4,0.0
2014-11-11,2,38,5.263157894736842
2014-11-12,1,9,11.11111111111111
2014-11-13,1,5,20.0
2014-11-14,1,4,25.0
2014-11-15,1,5,20.0
2014-11-16,1,4,25.0
2014-11-17,2,5,40.0
2014-11-18,8,40,20.0
2014-11-19,1,9,11.11111111111111
2014-11-20,1,5,20.0
2014-11-21,1,4,25.0
2014-11-22,1,5,20.0
2014-11-23,0,4,0.0
2014-11-24,0,7,0.0
2014-11-25,6,100,6.0
