date,Bethany Mota,Dancing with the Stars,normalized_score
2014-09-15,2,18,11.11111111111111
2014-09-16,8,72,11.11111111111111
2014-09-17,4,56,7.142857142857142
2014-09-18,2,13,15.384615384615385
2014-09-19,2,7,28.57142857142857
2014-09-20,2,7,28.57142857142857
2014-09-21,2,5,40.0
2014-09-22,2,8,25.0
2014-09-23,5,43,11.627906976744185
2014-09-24,2,37,5.405405405405405
2014-09-25,2,10,20.0
2014-09-26,1,6,16.666666666666664
2014-09-27,2,5,40.0
2014-09-28,2,5,40.0
2014-09-29,1,6,16.666666666666664
2014-09-30,5,40,12.5
2014-10-01,2,11,18.181818181818183
2014-10-02,1,5,20.0
2014-10-03,1,4,25.0
2014-10-04,2,4,50.0
2014-10-05,2,3,66.66666666666666
2014-10-06,1,5,20.0
2014-10-07,5,52,9.615384615384617
2014-10-08,3,18,16.666666666666664
2014-10-09,2,10,20.0
2014-10-10,2,7,28.57142857142857
2014-10-11,3,6,50.0
2014-10-12,3,5,60.0
2014-10-13,4,6,66.66666666666666
2014-10-14,7,32,21.875
2014-10-15,2,9,22.22222222222222
2014-10-16,2,5,40.0
2014-10-17,2,3,66.66666666666666
2014-10-18,3,4,75.0
2014-10-19,2,4,50.0
2014-10-20,2,5,40.0
2014-10-21,4,37,10.81081081081081
2014-10-22,2,9,22.22222222222222
2014-10-23,2,6,33.33333333333333
2014-10-24,2,4,50.0
2014-10-25,2,4,50.0
2014-10-26,2,4,50.0
2014-10-27,2,5,40.0
2014-10-28,4,28,14.285714285714285
2014-10-29,2,8,25.0
2014-10-30,2,5,40.0
2014-10-31,1,3,33.33333333333333
2014-11-01,2,4,50.0
2014-11-02,2,3,66.66666666666666
2014-11-03,1,4,25.0
2014-11-04,4,30,13.333333333333334
2014-11-05,2,7,28.57142857142857
2014-11-06,2,5,40.0
2014-11-07,3,4,75.0
2014-11-08,3,4,75.0
2014-11-09,3,3,100.0
2014-11-10,2,4,50.0
2014-11-11,7,38,18.421052631578945
2014-11-12,2,9,22.22222222222222
2014-11-13,2,5,40.0
2014-11-14,2,4,50.0
2014-11-15,2,5,40.0
2014-11-16,2,4,50.0
2014-11-17,2,5,40.0
2014-11-18,7,40,17.5
2014-11-19,2,9,22.22222222222222
2014-11-20,2,5,40.0
2014-11-21,1,4,25.0
2014-11-22,2,5,40.0
2014-11-23,2,4,50.0
2014-11-24,2,7,28.57142857142857
2014-11-25,10,100,10.0
