date,Betsey Johnson,Dancing with the Stars,normalized_score
2014-09-15,2,18,11.11111111111111
2014-09-16,8,72,11.11111111111111
2014-09-17,5,56,8.928571428571429
2014-09-18,1,13,7.6923076923076925
2014-09-19,1,7,14.285714285714285
2014-09-20,1,7,14.285714285714285
2014-09-21,1,5,20.0
2014-09-22,1,8,12.5
2014-09-23,11,43,25.581395348837212
2014-09-24,3,37,8.108108108108109
2014-09-25,1,10,10.0
2014-09-26,1,6,16.666666666666664
2014-09-27,1,5,20.0
2014-09-28,1,5,20.0
2014-09-29,1,6,16.666666666666664
2014-09-30,7,40,17.5
2014-10-01,1,11,9.090909090909092
2014-10-02,1,5,20.0
2014-10-03,1,4,25.0
2014-10-04,1,4,25.0
2014-10-05,1,3,33.33333333333333
2014-10-06,1,5,20.0
2014-10-07,9,52,17.307692307692307
2014-10-08,2,18,11.11111111111111
2014-10-09,1,10,10.0
2014-10-10,1,7,14.285714285714285
2014-10-11,1,6,16.666666666666664
2014-10-12,1,5,20.0
2014-10-13,1,6,16.666666666666664
2014-10-14,1,32,3.125
2014-10-15,1,9,11.11111111111111
2014-10-16,1,5,20.0
2014-10-17,1,3,33.33333333333333
2014-10-18,1,4,25.0
2014-10-19,1,4,25.0
2014-10-20,1,5,20.0
2014-10-21,1,37,2.7027027027027026
2014-10-22,1,9,11.11111111111111
2014-10-23,1,6,16.666666666666664
2014-10-24,1,4,25.0
2014-10-25,1,4,25.0
2014-10-26,1,4,25.0
2014-10-27,1,5,20.0
2014-10-28,1,28,3.571428571428571
2014-10-29,1,8,12.5
2014-10-30,1,5,20.0
2014-10-31,1,3,33.33333333333333
2014-11-01,1,4,25.0
2014-11-02,1,3,33.33333333333333
2014-11-03,1,4,25.0
2014-11-04,1,30,3.3333333333333335
2014-11-05,1,7,14.285714285714285
2014-11-06,1,5,20.0
2014-11-07,1,4,25.0
2014-11-08,1,4,25.0
2014-11-09,1,3,33.33333333333333
2014-11-10,1,4,25.0
2014-11-11,1,38,2.631578947368421
2014-11-12,1,9,11.11111111111111
2014-11-13,1,5,20.0
2014-11-14,1,4,25.0
2014-11-15,1,5,20.0
2014-11-16,1,4,25.0
2014-11-17,1,5,20.0
2014-11-18,1,40,2.5
2014-11-19,1,9,11.11111111111111
2014-11-20,1,5,20.0
2014-11-21,1,4,25.0
2014-11-22,1,5,20.0
2014-11-23,1,4,25.0
2014-11-24,1,7,14.285714285714285
2014-11-25,1,100,1.0
