date,Janel Parrish,Dancing with the Stars,normalized_score
2014-09-15,1,18,5.555555555555555
2014-09-16,5,72,6.944444444444445
2014-09-17,3,56,5.357142857142857
2014-09-18,1,13,7.6923076923076925
2014-09-19,0,7,0.0
2014-09-20,1,7,14.285714285714285
2014-09-21,0,5,0.0
2014-09-22,0,8,0.0
2014-09-23,4,43,9.30232558139535
2014-09-24,2,37,5.405405405405405
2014-09-25,0,10,0.0
2014-09-26,0,6,0.0
2014-09-27,0,5,0.0
2014-09-28,0,5,0.0
2014-09-29,0,6,0.0
2014-09-30,6,40,15.0
2014-10-01,1,11,9.090909090909092
2014-10-02,0,5,0.0
2014-10-03,0,4,0.0
2014-10-04,0,4,0.0
2014-10-05,0,3,0.0
2014-10-06,0,5,0.0
2014-10-07,4,52,7.6923076923076925
2014-10-08,1,18,5.555555555555555
2014-10-09,0,10,0.0
2014-10-10,0,7,0.0
2014-10-11,1,6,16.666666666666664
2014-10-12,0,5,0.0
2014-10-13,0,6,0.0
2014-10-14,6,32,18.75
2014-10-15,1,9,11.11111111111111
2014-10-16,1,5,20.0
2014-10-17,1,3,33.33333333333333
2014-10-18,1,4,25.0
2014-10-19,0,4,0.0
2014-10-20,1,5,20.0
2014-10-21,4,37,10.81081081081081
2014-10-22,1,9,11.11111111111111
2014-10-23,1,6,16.666666666666664
2014-10-24,0,4,0.0
2014-10-25,1,4,25.0
2014-10-26,1,4,25.0
2014-10-27,1,5,20.0
2014-10-28,2,28,7.142857142857142
2014-10-29,1,8,12.5
2014-10-30,1,5,20.0
2014-10-31,1,3,33.33333333333333
2014-11-01,1,4,25.0
2014-11-02,1,3,33.33333333333333
2014-11-03,0,4,0.0
2014-11-04,3,30,10.0
2014-11-05,1,7,14.285714285714285
2014-11-06,0,5,0.0
2014-11-07,0,4,0.0
2014-11-08,1,4,25.0
2014-11-09,0,3,0.0
2014-11-10,0,4,0.0
2014-11-11,4,38,10.526315789473683
2014-11-12,1,9,11.11111111111111
2014-11-13,0,5,0.0
2014-11-14,0,4,0.0
2014-11-15,0,5,0.0
2014-11-16,0,4,0.0
2014-11-17,1,5,20.0
2014-11-18,5,40,12.5
2014-11-19,1,9,11.11111111111111
2014-11-20,0,5,0.0
2014-11-21,0,4,0.0
2014-11-22,1,5,20.0
2014-11-23,1,4,25.0
2014-11-24,1,7,14.285714285714285
2014-11-25,7,100,7.000000000000001
