date,Lea Thompson,Dancing with the Stars,normalized_score
2014-09-15,1,18,5.555555555555555
2014-09-16,13,72,18.055555555555554
2014-09-17,3,56,5.357142857142857
2014-09-18,1,13,7.6923076923076925
2014-09-19,0,7,0.0
2014-09-20,1,7,14.285714285714285
2014-09-21,0,5,0.0
2014-09-22,0,8,0.0
2014-09-23,8,43,18.6046511627907
2014-09-24,3,37,8.108108108108109
2014-09-25,1,10,10.0
2014-09-26,1,6,16.666666666666664
2014-09-27,0,5,0.0
2014-09-28,1,5,20.0
2014-09-29,1,6,16.666666666666664
2014-09-30,5,40,12.5
2014-10-01,1,11,9.090909090909092
2014-10-02,1,5,20.0
2014-10-03,1,4,25.0
2014-10-04,1,4,25.0
2014-10-05,0,3,0.0
2014-10-06,1,5,20.0
2014-10-07,5,52,9.615384615384617
2014-10-08,1,18,5.555555555555555
2014-10-09,1,10,10.0
2014-10-10,0,7,0.0
2014-10-11,0,6,0.0
2014-10-12,1,5,20.0
2014-10-13,0,6,0.0
2014-10-14,7,32,21.875
2014-10-15,1,9,11.11111111111111
2014-10-16,1,5,20.0
2014-10-17,0,3,0.0
2014-10-18,0,4,0.0
2014-10-19,0,4,0.0
2014-10-20,0,5,0.0
2014-10-21,4,37,10.81081081081081
2014-10-22,0,9,0.0
2014-10-23,0,6,0.0
2014-10-24,0,4,0.0
2014-10-25,0,4,0.0
2014-10-26,0,4,0.0
2014-10-27,0,5,0.0
2014-10-28,3,28,10.714285714285714
2014-10-29,1,8,12.5
2014-10-30,0,5,0.0
2014-10-31,0,3,0.0
2014-11-01,0,4,0.0
2014-11-02,0,3,0.0
2014-11-03,0,4,0.0
2014-11-04,3,30,10.0
2014-11-05,1,7,14.285714285714285
2014-11-06,0,5,0.0
2014-11-07,0,4,0.0
2014-11-08,0,4,0.0
2014-11-09,0,3,0.0
2014-11-10,0,4,0.0
2014-11-11,11,38,28.947368421052634
2014-11-12,1,9,11.11111111111111
2014-11-13,1,5,20.0
2014-11-14,0,4,0.0
2014-11-15,0,5,0.0
2014-11-16,0,4,0.0
2014-11-17,0,5,0.0
2014-11-18,0,40,0.0
2014-11-19,0,9,0.0
2014-11-20,0,5,0.0
2014-11-21,0,4,0.0
2014-11-22,0,5,0.0
2014-11-23,0,4,0.0
2014-11-24,0,7,0.0
2014-11-25,0,100,0.0
