date,Sadie Robertson,Dancing with the Stars,normalized_score
2014-09-15,1,18,5.555555555555555
2014-09-16,14,72,19.444444444444446
2014-09-17,8,56,14.285714285714285
2014-09-18,3,13,23.076923076923077
2014-09-19,2,7,28.57142857142857
2014-09-20,2,7,28.57142857142857
2014-09-21,1,5,20.0
2014-09-22,2,8,25.0
2014-09-23,11,43,25.581395348837212
2014-09-24,6,37,16.216216216216218
2014-09-25,2,10,20.0
2014-09-26,1,6,16.666666666666664
2014-09-27,1,5,20.0
2014-09-28,1,5,20.0
2014-09-29,1,6,16.666666666666664
2014-09-30,5,40,12.5
2014-10-01,2,11,18.181818181818183
2014-10-02,1,5,20.0
2014-10-03,1,4,25.0
2014-10-04,1,4,25.0
2014-10-05,1,3,33.33333333333333
2014-10-06,1,5,20.0
2014-10-07,10,52,19.230769230769234
2014-10-08,5,18,27.77777777777778
2014-10-09,3,10,30.0
2014-10-10,2,7,28.57142857142857
2014-10-11,1,6,16.666666666666664
2014-10-12,2,5,40.0
2014-10-13,2,6,33.33333333333333
2014-10-14,7,32,21.875
2014-10-15,3,9,33.33333333333333
2014-10-16,2,5,40.0
2014-10-17,1,3,33.33333333333333
2014-10-18,1,4,25.0
2014-10-19,1,4,25.0
2014-10-20,1,5,20.0
2014-10-21,8,37,21.62162162162162
2014-10-22,3,9,33.33333333333333
2014-10-23,2,6,33.33333333333333
2014-10-24,1,4,25.0
2014-10-25,1,4,25.0
2014-10-26,2,4,50.0
2014-10-27,1,5,20.0
2014-10-28,5,28,17.857142857142858
2014-10-29,2,8,25.0
2014-10-30,2,5,40.0
2014-10-31,2,3,66.66666666666666
2014-11-01,1,4,25.0
2014-11-02,1,3,33.33333333333333
2014-11-03,1,4,25.0
2014-11-04,6,30,20.0
2014-11-05,2,7,28.57142857142857
2014-11-06,2,5,40.0
2014-11-07,1,4,25.0
2014-11-08,1,4,25.0
2014-11-09,1,3,33.33333333333333
2014-11-10,1,4,25.0
2014-11-11,8,38,21.052631578947366
2014-11-12,3,9,33.33333333333333
2014-11-13,2,5,40.0
2014-11-14,1,4,25.0
2014-11-15,2,5,40.0
2014-11-16,1,4,25.0
2014-11-17,1,5,20.0
2014-11-18,7,40,17.5
2014-11-19,2,9,22.22222222222222
2014-11-20,2,5,40.0
2014-11-21,1,4,25.0
2014-11-22,2,5,40.0
2014-11-23,2,4,50.0
2014-11-24,2,7,28.57142857142857
2014-11-25,11,100,11.0
