date,Tommy Chong,Dancing with the Stars,normalized_score
2014-09-15,1,18,5.555555555555555
2014-09-16,14,72,19.444444444444446
2014-09-17,4,56,7.142857142857142
2014-09-18,1,13,7.6923076923076925
2014-09-19,1,7,14.285714285714285
2014-09-20,1,7,14.285714285714285
2014-09-21,1,5,20.0
2014-09-22,0,8,0.0
2014-09-23,8,43,18.6046511627907
2014-09-24,2,37,5.405405405405405
2014-09-25,1,10,10.0
2014-09-26,1,6,16.666666666666664
2014-09-27,1,5,20.0
2014-09-28,0,5,0.0
2014-09-29,0,6,0.0
2014-09-30,4,40,10.0
2014-10-01,1,11,9.090909090909092
2014-10-02,0,5,0.0
2014-10-03,0,4,0.0
2014-10-04,0,4,0.0
2014-10-05,0,3,0.0
2014-10-06,0,5,0.0
2014-10-07,6,52,11.538461538461538
2014-10-08,1,18,5.555555555555555
2014-10-09,1,10,10.0
2014-10-10,1,7,14.285714285714285
2014-10-11,0,6,0.0
2014-10-12,0,5,0.0
2014-10-13,0,6,0.0
2014-10-14,8,32,25.0
2014-10-15,1,9,11.11111111111111
2014-10-16,1,5,20.0
2014-10-17,0,3,0.0
2014-10-18,1,4,25.0
2014-10-19,0,4,0.0
2014-10-20,0,5,0.0
2014-10-21,4,37,10.81081081081081
2014-10-22,1,9,11.11111111111111
2014-10-23,0,6,0.0
2014-10-24,0,4,0.0
2014-10-25,0,4,0.0
2014-10-26,0,4,0.0
2014-10-27,0,5,0.0
2014-10-28,2,28,7.142857142857142
2014-10-29,0,8,0.0
2014-10-30,1,5,20.0
2014-10-31,1,3,33.33333333333333
2014-11-01,0,4,0.0
2014-11-02,0,3,0.0
2014-11-03,0,4,0.0
2014-11-04,3,30,10.0
2014-11-05,1,7,14.285714285714285
2014-11-06,0,5,0.0
2014-11-07,0,4,0.0
2014-11-08,0,4,0.0
2014-11-09,0,3,0.0
2014-11-10,0,4,0.0
2014-11-11,6,38,15.789473684210526
2014-11-12,1,9,11.11111111111111
2014-11-13,1,5,20.0
2014-11-14,0,4,0.0
2014-11-15,0,5,0.0
2014-11-16,0,4,0.0
2014-11-17,0,5,0.0
2014-11-18,18,40,45.0
2014-11-19,3,9,33.33333333333333
2014-11-20,1,5,20.0
2014-11-21,1,4,25.0
2014-11-22,1,5,20.0
2014-11-23,1,4,25.0
2014-11-24,0,7,0.0
2014-11-25,1,100,1.0
