date,Charlotte McKinney,Dancing with the Stars,normalized_score
2015-03-16,4,25,16.0
2015-03-17,30,100,30.0
2015-03-18,12,23,52.17391304347826
2015-03-19,6,13,46.15384615384615
2015-03-20,4,8,50.0
2015-03-21,4,9,44.44444444444444
2015-03-22,4,8,50.0
2015-03-23,3,11,27.27272727272727
2015-03-24,18,88,20.454545454545457
2015-03-25,7,21,33.33333333333333
2015-03-26,3,7,42.857142857142854
2015-03-27,3,7,42.857142857142854
2015-03-28,3,8,37.5
2015-03-29,2,7,28.57142857142857
2015-03-30,2,9,22.22222222222222
2015-03-31,25,83,30.120481927710845
2015-04-01,11,18,61.111111111111114
2015-04-02,4,10,40.0
2015-04-03,3,10,30.0
2015-04-04,4,9,44.44444444444444
2015-04-05,4,11,36.36363636363637
2015-04-06,4,15,26.666666666666668
2015-04-07,8,72,11.11111111111111
2015-04-08,8,17,47.05882352941176
2015-04-09,4,13,30.76923076923077
2015-04-10,3,9,33.33333333333333
2015-04-11,3,7,42.857142857142854
2015-04-12,2,7,28.57142857142857
2015-04-13,2,10,20.0
2015-04-14,2,66,3.0303030303030303
2015-04-15,4,16,25.0
2015-04-16,15,9,166.66666666666669
2015-04-17,4,7,57.14285714285714
2015-04-18,4,7,57.14285714285714
2015-04-19,2,7,28.57142857142857
2015-04-20,4,9,44.44444444444444
2015-04-21,4,59,6.779661016949152
2015-04-22,2,15,13.333333333333334
2015-04-23,2,9,22.22222222222222
2015-04-24,2,8,25.0
2015-04-25,3,7,42.857142857142854
2015-04-26,2,6,33.33333333333333
2015-04-27,2,9,22.22222222222222
2015-04-28,2,67,2.9850746268656714
2015-04-29,2,31,6.451612903225806
2015-04-30,1,12,8.333333333333332
2015-05-01,1,9,11.11111111111111
2015-05-02,2,8,25.0
2015-05-03,3,8,37.5
2015-05-04,3,10,30.0
2015-05-05,3,56,5.357142857142857
2015-05-06,3,64,4.6875
2015-05-07,3,15,20.0
2015-05-08,3,10,30.0
2015-05-09,3,8,37.5
2015-05-10,2,8,25.0
2015-05-11,2,12,16.666666666666664
2015-05-12,2,68,2.941176470588235
2015-05-13,2,69,2.898550724637681
2015-05-14,1,18,5.555555555555555
2015-05-15,2,11,18.181818181818183
2015-05-16,2,12,16.666666666666664
2015-05-17,3,12,25.0
2015-05-18,2,16,12.5
2015-05-19,1,87,1.1494252873563218
