date,Chris Soules,Dancing with the Stars,normalized_score
2015-03-16,7,25,28.000000000000004
2015-03-17,12,100,12.0
2015-03-18,5,23,21.73913043478261
2015-03-19,4,13,30.76923076923077
2015-03-20,4,8,50.0
2015-03-21,3,9,33.33333333333333
2015-03-22,3,8,37.5
2015-03-23,4,11,36.36363636363637
2015-03-24,7,88,7.954545454545454
2015-03-25,4,21,19.047619047619047
2015-03-26,2,7,28.57142857142857
2015-03-27,2,7,28.57142857142857
2015-03-28,2,8,25.0
2015-03-29,2,7,28.57142857142857
2015-03-30,3,9,33.33333333333333
2015-03-31,5,83,6.024096385542169
2015-04-01,3,18,16.666666666666664
2015-04-02,2,10,20.0
2015-04-03,2,10,20.0
2015-04-04,2,9,22.22222222222222
2015-04-05,2,11,18.181818181818183
2015-04-06,2,15,13.333333333333334
2015-04-07,5,72,6.944444444444445
2015-04-08,2,17,11.76470588235294
2015-04-09,2,13,15.384615384615385
2015-04-10,1,9,11.11111111111111
2015-04-11,2,7,28.57142857142857
2015-04-12,2,7,28.57142857142857
2015-04-13,2,10,20.0
2015-04-14,4,66,6.0606060606060606
2015-04-15,2,16,12.5
2015-04-16,2,9,22.22222222222222
2015-04-17,2,7,28.57142857142857
2015-04-18,2,7,28.57142857142857
2015-04-19,2,7,28.57142857142857
2015-04-20,2,9,22.22222222222222
2015-04-21,3,59,5.084745762711865
2015-04-22,2,15,13.333333333333334
2015-04-23,2,9,22.22222222222222
2015-04-24,1,8,12.5
2015-04-25,1,7,14.285714285714285
2015-04-26,1,6,16.666666666666664
2015-04-27,2,9,22.22222222222222
2015-04-28,4,67,5.970149253731343
2015-04-29,2,31,6.451612903225806
2015-04-30,2,12,16.666666666666664
2015-05-01,2,9,22.22222222222222
2015-05-02,2,8,25.0
2015-05-03,2,8,25.0
2015-05-04,2,10,20.0
2015-05-05,8,56,14.285714285714285
2015-05-06,13,64,20.3125
2015-05-07,5,15,33.33333333333333
2015-05-08,3,10,30.0
2015-05-09,3,8,37.5
2015-05-10,3,8,37.5
2015-05-11,3,12,25.0
2015-05-12,4,68,5.88235294117647
2015-05-13,4,69,5.797101449275362
2015-05-14,3,18,16.666666666666664
2015-05-15,2,11,18.181818181818183
2015-05-16,2,12,16.666666666666664
2015-05-17,2,12,16.666666666666664
2015-05-18,3,16,18.75
2015-05-19,8,87,9.195402298850574
