date,Michael Sam,Dancing with the Stars,normalized_score
2015-03-16,1,25,4.0
2015-03-17,6,100,6.0
2015-03-18,2,23,8.695652173913043
2015-03-19,1,13,7.6923076923076925
2015-03-20,1,8,12.5
2015-03-21,1,9,11.11111111111111
2015-03-22,2,8,25.0
2015-03-23,2,11,18.181818181818183
2015-03-24,5,88,5.681818181818182
2015-03-25,2,21,9.523809523809524
2015-03-26,1,7,14.285714285714285
2015-03-27,3,7,42.857142857142854
2015-03-28,2,8,25.0
2015-03-29,1,7,14.285714285714285
2015-03-30,1,9,11.11111111111111
2015-03-31,3,83,3.614457831325301
2015-04-01,1,18,5.555555555555555
2015-04-02,1,10,10.0
2015-04-03,1,10,10.0
2015-04-04,1,9,11.11111111111111
2015-04-05,1,11,9.090909090909092
2015-04-06,1,15,6.666666666666667
2015-04-07,6,72,8.333333333333332
2015-04-08,1,17,5.88235294117647
2015-04-09,1,13,7.6923076923076925
2015-04-10,1,9,11.11111111111111
2015-04-11,1,7,14.285714285714285
2015-04-12,1,7,14.285714285714285
2015-04-13,1,10,10.0
2015-04-14,1,66,1.5151515151515151
2015-04-15,1,16,6.25
2015-04-16,1,9,11.11111111111111
2015-04-17,1,7,14.285714285714285
2015-04-18,1,7,14.285714285714285
2015-04-19,1,7,14.285714285714285
2015-04-20,1,9,11.11111111111111
2015-04-21,1,59,1.694915254237288
2015-04-22,0,15,0.0
2015-04-23,1,9,11.11111111111111
2015-04-24,1,8,12.5
2015-04-25,1,7,14.285714285714285
2015-04-26,1,6,16.666666666666664
2015-04-27,1,9,11.11111111111111
2015-04-28,1,67,1.4925373134328357
2015-04-29,0,31,0.0
2015-04-30,1,12,8.333333333333332
2015-05-01,1,9,11.11111111111111
2015-05-02,1,8,12.5
2015-05-03,1,8,12.5
2015-05-04,1,10,10.0
2015-05-05,1,56,1.7857142857142856
2015-05-06,1,64,1.5625
2015-05-07,1,15,6.666666666666667
2015-05-08,1,10,10.0
2015-05-09,1,8,12.5
2015-05-10,1,8,12.5
2015-05-11,0,12,0.0
2015-05-12,1,68,1.4705882352941175
2015-05-13,1,69,1.4492753623188406
2015-05-14,1,18,5.555555555555555
2015-05-15,0,11,0.0
2015-05-16,1,12,8.333333333333332
2015-05-17,0,12,0.0
2015-05-18,1,16,6.25
2015-05-19,0,87,0.0
