date,Nastia Liukin,Dancing with the Stars,normalized_score
2015-03-16,1,25,4.0
2015-03-17,6,100,6.0
2015-03-18,1,23,4.3478260869565215
2015-03-19,0,13,0.0
2015-03-20,0,8,0.0
2015-03-21,1,9,11.11111111111111
2015-03-22,0,8,0.0
2015-03-23,1,11,9.090909090909092
2015-03-24,6,88,6.8181818181818175
2015-03-25,1,21,4.761904761904762
2015-03-26,1,7,14.285714285714285
2015-03-27,1,7,14.285714285714285
2015-03-28,1,8,12.5
2015-03-29,1,7,14.285714285714285
2015-03-30,0,9,0.0
2015-03-31,6,83,7.228915662650602
2015-04-01,1,18,5.555555555555555
2015-04-02,1,10,10.0
2015-04-03,1,10,10.0
2015-04-04,1,9,11.11111111111111
2015-04-05,0,11,0.0
2015-04-06,1,15,6.666666666666667
2015-04-07,5,72,6.944444444444445
2015-04-08,1,17,5.88235294117647
2015-04-09,1,13,7.6923076923076925
2015-04-10,1,9,11.11111111111111
2015-04-11,0,7,0.0
2015-04-12,0,7,0.0
2015-04-13,0,10,0.0
2015-04-14,3,66,4.545454545454546
2015-04-15,1,16,6.25
2015-04-16,0,9,0.0
2015-04-17,0,7,0.0
2015-04-18,1,7,14.285714285714285
2015-04-19,0,7,0.0
2015-04-20,1,9,11.11111111111111
2015-04-21,3,59,5.084745762711865
2015-04-22,1,15,6.666666666666667
2015-04-23,1,9,11.11111111111111
2015-04-24,0,8,0.0
2015-04-25,1,7,14.285714285714285
2015-04-26,1,6,16.666666666666664
2015-04-27,0,9,0.0
2015-04-28,3,67,4.477611940298507
2015-04-29,1,31,3.225806451612903
2015-04-30,1,12,8.333333333333332
2015-05-01,0,9,0.0
2015-05-02,0,8,0.0
2015-05-03,0,8,0.0
2015-05-04,1,10,10.0
2015-05-05,4,56,7.142857142857142
2015-05-06,2,64,3.125
2015-05-07,1,15,6.666666666666667
2015-05-08,0,10,0.0
2015-05-09,1,8,12.5
2015-05-10,1,8,12.5
2015-05-11,0,12,0.0
2015-05-12,6,68,8.823529411764707
2015-05-13,6,69,8.695652173913043
2015-05-14,1,18,5.555555555555555
2015-05-15,1,11,9.090909090909092
2015-05-16,1,12,8.333333333333332
2015-05-17,1,12,8.333333333333332
2015-05-18,0,16,0.0
2015-05-19,1,87,1.1494252873563218
