date,Patti LaBelle,Dancing with the Stars,normalized_score
2015-03-16,1,25,4.0
2015-03-17,28,100,28.000000000000004
2015-03-18,4,23,17.391304347826086
2015-03-19,5,13,38.46153846153847
2015-03-20,2,8,25.0
2015-03-21,2,9,22.22222222222222
2015-03-22,2,8,25.0
2015-03-23,1,11,9.090909090909092
2015-03-24,15,88,17.045454545454543
2015-03-25,4,21,19.047619047619047
2015-03-26,2,7,28.57142857142857
2015-03-27,1,7,14.285714285714285
2015-03-28,1,8,12.5
2015-03-29,2,7,28.57142857142857
2015-03-30,1,9,11.11111111111111
2015-03-31,12,83,14.457831325301203
2015-04-01,2,18,11.11111111111111
2015-04-02,2,10,20.0
2015-04-03,1,10,10.0
2015-04-04,2,9,22.22222222222222
2015-04-05,2,11,18.181818181818183
2015-04-06,1,15,6.666666666666667
2015-04-07,16,72,22.22222222222222
2015-04-08,3,17,17.647058823529413
2015-04-09,1,13,7.6923076923076925
2015-04-10,1,9,11.11111111111111
2015-04-11,1,7,14.285714285714285
2015-04-12,1,7,14.285714285714285
2015-04-13,1,10,10.0
2015-04-14,8,66,12.121212121212121
2015-04-15,1,16,6.25
2015-04-16,1,9,11.11111111111111
2015-04-17,1,7,14.285714285714285
2015-04-18,1,7,14.285714285714285
2015-04-19,1,7,14.285714285714285
2015-04-20,1,9,11.11111111111111
2015-04-21,10,59,16.94915254237288
2015-04-22,2,15,13.333333333333334
2015-04-23,1,9,11.11111111111111
2015-04-24,1,8,12.5
2015-04-25,1,7,14.285714285714285
2015-04-26,1,6,16.666666666666664
2015-04-27,1,9,11.11111111111111
2015-04-28,1,67,1.4925373134328357
2015-04-29,4,31,12.903225806451612
2015-04-30,1,12,8.333333333333332
2015-05-01,1,9,11.11111111111111
2015-05-02,1,8,12.5
2015-05-03,1,8,12.5
2015-05-04,1,10,10.0
2015-05-05,1,56,1.7857142857142856
2015-05-06,0,64,0.0
2015-05-07,1,15,6.666666666666667
2015-05-08,1,10,10.0
2015-05-09,1,8,12.5
2015-05-10,2,8,25.0
2015-05-11,1,12,8.333333333333332
2015-05-12,1,68,1.4705882352941175
2015-05-13,1,69,1.4492753623188406
2015-05-14,1,18,5.555555555555555
2015-05-15,1,11,9.090909090909092
2015-05-16,1,12,8.333333333333332
2015-05-17,1,12,8.333333333333332
2015-05-18,1,16,6.25
2015-05-19,1,87,1.1494252873563218
