date,Redfoo,Dancing with the Stars,normalized_score
2015-03-16,1,25,4.0
2015-03-17,13,100,13.0
2015-03-18,2,23,8.695652173913043
2015-03-19,1,13,7.6923076923076925
2015-03-20,1,8,12.5
2015-03-21,1,9,11.11111111111111
2015-03-22,1,8,12.5
2015-03-23,0,11,0.0
2015-03-24,20,88,22.727272727272727
2015-03-25,3,21,14.285714285714285
2015-03-26,1,7,14.285714285714285
2015-03-27,1,7,14.285714285714285
2015-03-28,1,8,12.5
2015-03-29,1,7,14.285714285714285
2015-03-30,0,9,0.0
2015-03-31,1,83,1.2048192771084338
2015-04-01,0,18,0.0
2015-04-02,0,10,0.0
2015-04-03,0,10,0.0
2015-04-04,1,9,11.11111111111111
2015-04-05,0,11,0.0
2015-04-06,0,15,0.0
2015-04-07,0,72,0.0
2015-04-08,0,17,0.0
2015-04-09,0,13,0.0
2015-04-10,0,9,0.0
2015-04-11,0,7,0.0
2015-04-12,0,7,0.0
2015-04-13,0,10,0.0
2015-04-14,0,66,0.0
2015-04-15,0,16,0.0
2015-04-16,0,9,0.0
2015-04-17,0,7,0.0
2015-04-18,0,7,0.0
2015-04-19,0,7,0.0
2015-04-20,0,9,0.0
2015-04-21,0,59,0.0
2015-04-22,0,15,0.0
2015-04-23,0,9,0.0
2015-04-24,0,8,0.0
2015-04-25,0,7,0.0
2015-04-26,0,6,0.0
2015-04-27,0,9,0.0
2015-04-28,0,67,0.0
2015-04-29,0,31,0.0
2015-04-30,0,12,0.0
2015-05-01,0,9,0.0
2015-05-02,0,8,0.0
2015-05-03,0,8,0.0
2015-05-04,0,10,0.0
2015-05-05,0,56,0.0
2015-05-06,0,64,0.0
2015-05-07,0,15,0.0
2015-05-08,0,10,0.0
2015-05-09,0,8,0.0
2015-05-10,0,8,0.0
2015-05-11,0,12,0.0
2015-05-12,0,68,0.0
2015-05-13,0,69,0.0
2015-05-14,0,18,0.0
2015-05-15,0,11,0.0
2015-05-16,0,12,0.0
2015-05-17,0,12,0.0
2015-05-18,0,16,0.0
2015-05-19,0,87,0.0
