date,Robert Herjavec,Dancing with the Stars,normalized_score
2015-03-16,1,25,4.0
2015-03-17,15,100,15.0
2015-03-18,5,23,21.73913043478261
2015-03-19,5,13,38.46153846153847
2015-03-20,2,8,25.0
2015-03-21,3,9,33.33333333333333
2015-03-22,2,8,25.0
2015-03-23,2,11,18.181818181818183
2015-03-24,14,88,15.909090909090908
2015-03-25,5,21,23.809523809523807
2015-03-26,1,7,14.285714285714285
2015-03-27,1,7,14.285714285714285
2015-03-28,2,8,25.0
2015-03-29,2,7,28.57142857142857
2015-03-30,1,9,11.11111111111111
2015-03-31,10,83,12.048192771084338
2015-04-01,2,18,11.11111111111111
2015-04-02,2,10,20.0
2015-04-03,2,10,20.0
2015-04-04,3,9,33.33333333333333
2015-04-05,2,11,18.181818181818183
2015-04-06,3,15,20.0
2015-04-07,9,72,12.5
2015-04-08,2,17,11.76470588235294
2015-04-09,1,13,7.6923076923076925
2015-04-10,1,9,11.11111111111111
2015-04-11,2,7,28.57142857142857
2015-04-12,1,7,14.285714285714285
2015-04-13,1,10,10.0
2015-04-14,6,66,9.090909090909092
2015-04-15,2,16,12.5
2015-04-16,1,9,11.11111111111111
2015-04-17,1,7,14.285714285714285
2015-04-18,2,7,28.57142857142857
2015-04-19,1,7,14.285714285714285
2015-04-20,1,9,11.11111111111111
2015-04-21,7,59,11.864406779661017
2015-04-22,2,15,13.333333333333334
2015-04-23,1,9,11.11111111111111
2015-04-24,1,8,12.5
2015-04-25,1,7,14.285714285714285
2015-04-26,1,6,16.666666666666664
2015-04-27,1,9,11.11111111111111
2015-04-28,6,67,8.955223880597014
2015-04-29,1,31,3.225806451612903
2015-04-30,1,12,8.333333333333332
2015-05-01,1,9,11.11111111111111
2015-05-02,2,8,25.0
2015-05-03,1,8,12.5
2015-05-04,1,10,10.0
2015-05-05,9,56,16.071428571428573
2015-05-06,13,64,20.3125
2015-05-07,4,15,26.666666666666668
2015-05-08,2,10,20.0
2015-05-09,3,8,37.5
2015-05-10,2,8,25.0
2015-05-11,1,12,8.333333333333332
2015-05-12,4,68,5.88235294117647
2015-05-13,3,69,4.3478260869565215
2015-05-14,2,18,11.11111111111111
2015-05-15,2,11,18.181818181818183
2015-05-16,5,12,41.66666666666667
2015-05-17,2,12,16.666666666666664
2015-05-18,1,16,6.25
2015-05-19,1,87,1.1494252873563218
