date,Rumer Willis,Dancing with the Stars,normalized_score
2015-03-16,2,25,8.0
2015-03-17,28,100,28.000000000000004
2015-03-18,6,23,26.08695652173913
2015-03-19,3,13,23.076923076923077
2015-03-20,2,8,25.0
2015-03-21,2,9,22.22222222222222
2015-03-22,2,8,25.0
2015-03-23,2,11,18.181818181818183
2015-03-24,17,88,19.318181818181817
2015-03-25,8,21,38.095238095238095
2015-03-26,3,7,42.857142857142854
2015-03-27,2,7,28.57142857142857
2015-03-28,2,8,25.0
2015-03-29,2,7,28.57142857142857
2015-03-30,2,9,22.22222222222222
2015-03-31,15,83,18.072289156626507
2015-04-01,5,18,27.77777777777778
2015-04-02,2,10,20.0
2015-04-03,2,10,20.0
2015-04-04,2,9,22.22222222222222
2015-04-05,2,11,18.181818181818183
2015-04-06,3,15,20.0
2015-04-07,17,72,23.61111111111111
2015-04-08,4,17,23.52941176470588
2015-04-09,2,13,15.384615384615385
2015-04-10,4,9,44.44444444444444
2015-04-11,3,7,42.857142857142854
2015-04-12,2,7,28.57142857142857
2015-04-13,2,10,20.0
2015-04-14,10,66,15.151515151515152
2015-04-15,3,16,18.75
2015-04-16,2,9,22.22222222222222
2015-04-17,2,7,28.57142857142857
2015-04-18,2,7,28.57142857142857
2015-04-19,2,7,28.57142857142857
2015-04-20,1,9,11.11111111111111
2015-04-21,14,59,23.728813559322035
2015-04-22,13,15,86.66666666666667
2015-04-23,5,9,55.55555555555556
2015-04-24,5,8,62.5
2015-04-25,3,7,42.857142857142854
2015-04-26,2,6,33.33333333333333
2015-04-27,2,9,22.22222222222222
2015-04-28,10,67,14.925373134328357
2015-04-29,3,31,9.67741935483871
2015-04-30,2,12,16.666666666666664
2015-05-01,1,9,11.11111111111111
2015-05-02,2,8,25.0
2015-05-03,1,8,12.5
2015-05-04,1,10,10.0
2015-05-05,11,56,19.642857142857142
2015-05-06,6,64,9.375
2015-05-07,2,15,13.333333333333334
2015-05-08,1,10,10.0
2015-05-09,1,8,12.5
2015-05-10,2,8,25.0
2015-05-11,2,12,16.666666666666664
2015-05-12,13,68,19.11764705882353
2015-05-13,7,69,10.144927536231885
2015-05-14,2,18,11.11111111111111
2015-05-15,2,11,18.181818181818183
2015-05-16,2,12,16.666666666666664
2015-05-17,4,12,33.33333333333333
2015-05-18,2,16,12.5
2015-05-19,17,87,19.54022988505747
