date,Suzanne Somers,Dancing with the Stars,normalized_score
2015-03-16,3,25,12.0
2015-03-17,27,100,27.0
2015-03-18,4,23,17.391304347826086
2015-03-19,2,13,15.384615384615385
2015-03-20,1,8,12.5
2015-03-21,1,9,11.11111111111111
2015-03-22,1,8,12.5
2015-03-23,1,11,9.090909090909092
2015-03-24,12,88,13.636363636363635
2015-03-25,2,21,9.523809523809524
2015-03-26,1,7,14.285714285714285
2015-03-27,1,7,14.285714285714285
2015-03-28,1,8,12.5
2015-03-29,1,7,14.285714285714285
2015-03-30,1,9,11.11111111111111
2015-03-31,9,83,10.843373493975903
2015-04-01,2,18,11.11111111111111
2015-04-02,1,10,10.0
2015-04-03,1,10,10.0
2015-04-04,1,9,11.11111111111111
2015-04-05,1,11,9.090909090909092
2015-04-06,1,15,6.666666666666667
2015-04-07,12,72,16.666666666666664
2015-04-08,3,17,17.647058823529413
2015-04-09,2,13,15.384615384615385
2015-04-10,1,9,11.11111111111111
2015-04-11,1,7,14.285714285714285
2015-04-12,1,7,14.285714285714285
2015-04-13,1,10,10.0
2015-04-14,16,66,24.242424242424242
2015-04-15,4,16,25.0
2015-04-16,2,9,22.22222222222222
2015-04-17,3,7,42.857142857142854
2015-04-18,6,7,85.71428571428571
2015-04-19,2,7,28.57142857142857
2015-04-20,1,9,11.11111111111111
2015-04-21,3,59,5.084745762711865
2015-04-22,1,15,6.666666666666667
2015-04-23,1,9,11.11111111111111
2015-04-24,2,8,25.0
2015-04-25,2,7,28.57142857142857
2015-04-26,1,6,16.666666666666664
2015-04-27,1,9,11.11111111111111
2015-04-28,1,67,1.4925373134328357
2015-04-29,1,31,3.225806451612903
2015-04-30,1,12,8.333333333333332
2015-05-01,1,9,11.11111111111111
2015-05-02,0,8,0.0
2015-05-03,1,8,12.5
2015-05-04,1,10,10.0
2015-05-05,0,56,0.0
2015-05-06,1,64,1.5625
2015-05-07,1,15,6.666666666666667
2015-05-08,0,10,0.0
2015-05-09,1,8,12.5
2015-05-10,1,8,12.5
2015-05-11,1,12,8.333333333333332
2015-05-12,1,68,1.4705882352941175
2015-05-13,1,69,1.4492753623188406
2015-05-14,1,18,5.555555555555555
2015-05-15,1,11,9.090909090909092
2015-05-16,0,12,0.0
2015-05-17,1,12,8.333333333333332
2015-05-18,1,16,6.25
2015-05-19,0,87,0.0
