date,Willow Shields,Dancing with the Stars,normalized_score
2015-03-16,4,25,16.0
2015-03-17,20,100,20.0
2015-03-18,3,23,13.043478260869565
2015-03-19,2,13,15.384615384615385
2015-03-20,1,8,12.5
2015-03-21,1,9,11.11111111111111
2015-03-22,1,8,12.5
2015-03-23,1,11,9.090909090909092
2015-03-24,10,88,11.363636363636363
2015-03-25,2,21,9.523809523809524
2015-03-26,1,7,14.285714285714285
2015-03-27,1,7,14.285714285714285
2015-03-28,1,8,12.5
2015-03-29,1,7,14.285714285714285
2015-03-30,1,9,11.11111111111111
2015-03-31,11,83,13.253012048192772
2015-04-01,2,18,11.11111111111111
2015-04-02,1,10,10.0
2015-04-03,1,10,10.0
2015-04-04,1,9,11.11111111111111
2015-04-05,1,11,9.090909090909092
2015-04-06,1,15,6.666666666666667
2015-04-07,7,72,9.722222222222223
2015-04-08,2,17,11.76470588235294
2015-04-09,1,13,7.6923076923076925
2015-04-10,1,9,11.11111111111111
2015-04-11,1,7,14.285714285714285
2015-04-12,0,7,0.0
2015-04-13,1,10,10.0
2015-04-14,6,66,9.090909090909092
2015-04-15,1,16,6.25
2015-04-16,1,9,11.11111111111111
2015-04-17,1,7,14.285714285714285
2015-04-18,1,7,14.285714285714285
2015-04-19,1,7,14.285714285714285
2015-04-20,0,9,0.0
2015-04-21,6,59,10.16949152542373
2015-04-22,1,15,6.666666666666667
2015-04-23,0,9,0.0
2015-04-24,0,8,0.0
2015-04-25,1,7,14.285714285714285
2015-04-26,1,6,16.666666666666664
2015-04-27,0,9,0.0
2015-04-28,14,67,20.8955223880597
2015-04-29,4,31,12.903225806451612
2015-04-30,1,12,8.333333333333332
2015-05-01,1,9,11.11111111111111
2015-05-02,1,8,12.5
2015-05-03,1,8,12.5
2015-05-04,0,10,0.0
2015-05-05,1,56,1.7857142857142856
2015-05-06,1,64,1.5625
2015-05-07,0,15,0.0
2015-05-08,0,10,0.0
2015-05-09,0,8,0.0
2015-05-10,0,8,0.0
2015-05-11,0,12,0.0
2015-05-12,1,68,1.4705882352941175
2015-05-13,0,69,0.0
2015-05-14,0,18,0.0
2015-05-15,0,11,0.0
2015-05-16,0,12,0.0
2015-05-17,0,12,0.0
2015-05-18,0,16,0.0
2015-05-19,0,87,0.0
