date,Bindi Irwin,Dancing with the Stars,normalized_score
2015-09-14,2,26,7.6923076923076925
2015-09-15,25,100,25.0
2015-09-16,11,41,26.82926829268293
2015-09-17,4,13,30.76923076923077
2015-09-18,3,9,33.33333333333333
2015-09-19,3,9,33.33333333333333
2015-09-20,2,8,25.0
2015-09-21,3,10,30.0
2015-09-22,11,64,17.1875
2015-09-23,11,69,15.942028985507244
2015-09-24,3,16,18.75
2015-09-25,2,11,18.181818181818183
2015-09-26,2,10,20.0
2015-09-27,2,8,25.0
2015-09-28,3,10,30.0
2015-09-29,8,47,17.02127659574468
2015-09-30,2,14,14.285714285714285
2015-10-01,1,7,14.285714285714285
2015-10-02,1,6,16.666666666666664
2015-10-03,1,6,16.666666666666664
2015-10-04,1,6,16.666666666666664
2015-10-05,1,8,12.5
2015-10-06,21,59,35.59322033898305
2015-10-07,12,17,70.58823529411765
2015-10-08,7,13,53.84615384615385
2015-10-09,4,8,50.0
2015-10-10,4,7,57.14285714285714
2015-10-11,3,6,50.0
2015-10-12,2,8,25.0
2015-10-13,11,44,25.0
2015-10-14,3,13,23.076923076923077
2015-10-15,2,7,28.57142857142857
2015-10-16,2,6,33.33333333333333
2015-10-17,3,6,50.0
2015-10-18,2,5,40.0
2015-10-19,2,7,28.57142857142857
2015-10-20,15,50,30.0
2015-10-21,5,14,35.714285714285715
2015-10-22,3,8,37.5
2015-10-23,2,5,40.0
2015-10-24,2,6,33.33333333333333
2015-10-25,1,5,20.0
2015-10-26,3,7,42.857142857142854
2015-10-27,9,40,22.5
2015-10-28,6,12,50.0
2015-10-29,2,6,33.33333333333333
2015-10-30,2,5,40.0
2015-10-31,2,5,40.0
2015-11-01,1,4,25.0
2015-11-02,1,6,16.666666666666664
2015-11-03,8,40,20.0
2015-11-04,3,10,30.0
2015-11-05,9,7,128.57142857142858
2015-11-06,9,6,150.0
2015-11-07,5,5,100.0
2015-11-08,3,5,60.0
2015-11-09,2,5,40.0
2015-11-10,13,51,25.49019607843137
2015-11-11,4,19,21.052631578947366
2015-11-12,2,10,20.0
2015-11-13,2,6,33.33333333333333
2015-11-14,1,5,20.0
2015-11-15,2,5,40.0
2015-11-16,2,7,28.57142857142857
2015-11-17,10,44,22.727272727272727
2015-11-18,3,11,27.27272727272727
2015-11-19,2,6,33.33333333333333
2015-11-20,1,4,25.0
2015-11-21,2,6,33.33333333333333
2015-11-22,1,5,20.0
2015-11-23,2,9,22.22222222222222
2015-11-24,25,75,33.33333333333333
