date,Chaka Khan,Dancing with the Stars,normalized_score
2015-09-14,1,26,3.8461538461538463
2015-09-15,16,100,16.0
2015-09-16,6,41,14.634146341463413
2015-09-17,1,13,7.6923076923076925
2015-09-18,1,9,11.11111111111111
2015-09-19,1,9,11.11111111111111
2015-09-20,1,8,12.5
2015-09-21,1,10,10.0
2015-09-22,9,64,14.0625
2015-09-23,2,69,2.898550724637681
2015-09-24,1,16,6.25
2015-09-25,1,11,9.090909090909092
2015-09-26,1,10,10.0
2015-09-27,1,8,12.5
2015-09-28,1,10,10.0
2015-09-29,1,47,2.127659574468085
2015-09-30,1,14,7.142857142857142
2015-10-01,0,7,0.0
2015-10-02,1,6,16.666666666666664
2015-10-03,1,6,16.666666666666664
2015-10-04,1,6,16.666666666666664
2015-10-05,0,8,0.0
2015-10-06,1,59,1.694915254237288
2015-10-07,0,17,0.0
2015-10-08,1,13,7.6923076923076925
2015-10-09,1,8,12.5
2015-10-10,1,7,14.285714285714285
2015-10-11,0,6,0.0
2015-10-12,0,8,0.0
2015-10-13,1,44,2.272727272727273
2015-10-14,0,13,0.0
2015-10-15,0,7,0.0
2015-10-16,0,6,0.0
2015-10-17,0,6,0.0
2015-10-18,1,5,20.0
2015-10-19,0,7,0.0
2015-10-20,0,50,0.0
2015-10-21,0,14,0.0
2015-10-22,0,8,0.0
2015-10-23,0,5,0.0
2015-10-24,0,6,0.0
2015-10-25,0,5,0.0
2015-10-26,0,7,0.0
2015-10-27,0,40,0.0
2015-10-28,0,12,0.0
2015-10-29,0,6,0.0
2015-10-30,0,5,0.0
2015-10-31,0,5,0.0
2015-11-01,0,4,0.0
2015-11-02,0,6,0.0
2015-11-03,0,40,0.0
2015-11-04,0,10,0.0
2015-11-05,0,7,0.0
2015-11-06,0,6,0.0
2015-11-07,1,5,20.0
2015-11-08,1,5,20.0
2015-11-09,0,5,0.0
2015-11-10,0,51,0.0
2015-11-11,0,19,0.0
2015-11-12,0,10,0.0
2015-11-13,0,6,0.0
2015-11-14,1,5,20.0
2015-11-15,1,5,20.0
2015-11-16,0,7,0.0
2015-11-17,1,44,2.272727272727273
2015-11-18,0,11,0.0
2015-11-19,0,6,0.0
2015-11-20,1,4,25.0
2015-11-21,0,6,0.0
2015-11-22,0,5,0.0
2015-11-23,0,9,0.0
2015-11-24,0,75,0.0
