date,Gary Busey,Dancing with the Stars,normalized_score
2015-09-14,2,26,7.6923076923076925
2015-09-15,40,100,40.0
2015-09-16,16,41,39.02439024390244
2015-09-17,3,13,23.076923076923077
2015-09-18,3,9,33.33333333333333
2015-09-19,3,9,33.33333333333333
2015-09-20,2,8,25.0
2015-09-21,2,10,20.0
2015-09-22,20,64,31.25
2015-09-23,14,69,20.28985507246377
2015-09-24,4,16,25.0
2015-09-25,2,11,18.181818181818183
2015-09-26,2,10,20.0
2015-09-27,2,8,25.0
2015-09-28,1,10,10.0
2015-09-29,9,47,19.148936170212767
2015-09-30,2,14,14.285714285714285
2015-10-01,1,7,14.285714285714285
2015-10-02,1,6,16.666666666666664
2015-10-03,1,6,16.666666666666664
2015-10-04,1,6,16.666666666666664
2015-10-05,1,8,12.5
2015-10-06,14,59,23.728813559322035
2015-10-07,3,17,17.647058823529413
2015-10-08,2,13,15.384615384615385
2015-10-09,1,8,12.5
2015-10-10,1,7,14.285714285714285
2015-10-11,1,6,16.666666666666664
2015-10-12,1,8,12.5
2015-10-13,1,44,2.272727272727273
2015-10-14,1,13,7.6923076923076925
2015-10-15,1,7,14.285714285714285
2015-10-16,1,6,16.666666666666664
2015-10-17,1,6,16.666666666666664
2015-10-18,1,5,20.0
2015-10-19,1,7,14.285714285714285
2015-10-20,1,50,2.0
2015-10-21,1,14,7.142857142857142
2015-10-22,1,8,12.5
2015-10-23,1,5,20.0
2015-10-24,1,6,16.666666666666664
2015-10-25,1,5,20.0
2015-10-26,1,7,14.285714285714285
2015-10-27,1,40,2.5
2015-10-28,1,12,8.333333333333332
2015-10-29,1,6,16.666666666666664
2015-10-30,1,5,20.0
2015-10-31,1,5,20.0
2015-11-01,1,4,25.0
2015-11-02,1,6,16.666666666666664
2015-11-03,1,40,2.5
2015-11-04,1,10,10.0
2015-11-05,0,7,0.0
2015-11-06,1,6,16.666666666666664
2015-11-07,0,5,0.0
2015-11-08,1,5,20.0
2015-11-09,0,5,0.0
2015-11-10,1,51,1.9607843137254901
2015-11-11,0,19,0.0
2015-11-12,0,10,0.0
2015-11-13,1,6,16.666666666666664
2015-11-14,1,5,20.0
2015-11-15,1,5,20.0
2015-11-16,1,7,14.285714285714285
2015-11-17,1,44,2.272727272727273
2015-11-18,1,11,9.090909090909092
2015-11-19,0,6,0.0
2015-11-20,0,4,0.0
2015-11-21,1,6,16.666666666666664
2015-11-22,1,5,20.0
2015-11-23,0,9,0.0
2015-11-24,1,75,1.3333333333333335
